scheme,N,GPUs,i,htod,kernel,dtoh
cpall,1024,1,1,0.00228,0.00879,0.00353
cpall,1024,1,2,0.00281,0.00879,0.00331
cpall,1024,1,3,0.00320,0.00892,0.00364
cpall,1024,1,4,0.00315,0.00892,0.00368
cpall,2048,1,1,0.00720,0.07084,0.00858
cpall,2048,1,2,0.01048,0.06982,0.00843
cpall,2048,1,3,0.00747,0.06977,0.00846
cpall,2048,1,4,0.01008,0.07084,0.00849
cpall,4096,1,1,0.02724,0.51968,0.02200
cpall,4096,1,2,0.02919,0.50601,0.02663
cpall,4096,1,3,0.02924,0.49584,0.02632
cpall,4096,1,4,0.02901,0.51461,0.02636
cpall,8192,1,1,0.11608,3.07228,0.07614
cpall,8192,1,2,0.11784,3.06763,0.07394
cpall,8192,1,3,0.11570,3.07951,0.07263
cpall,8192,1,4,0.07331,3.05602,0.07359
cpall,12288,1,1,0.16403,10.24815,0.17501
cpall,12288,1,2,0.21412,10.30599,0.16806
cpall,12288,1,3,0.15821,10.02468,0.16521
cpall,12288,1,4,0.19067,10.57864,0.16972
cpall,16384,1,1,0.22236,24.32817,0.28633
cpall,16384,1,2,0.27561,24.89760,0.28965
cpall,16384,1,3,0.25551,23.98889,0.30336
cpall,16384,1,4,0.23119,25.46052,0.43052
cpall,20480,1,1,0.91503,46.48963,0.47883
cpall,20480,1,2,0.42958,48.87898,0.48305
cpall,20480,1,3,1.30833,45.98811,0.51629
cpall,20480,1,4,0.53383,46.51325,0.52697
cpall,24576,1,1,0.87244,84.07988,0.74278
cpall,24576,1,2,1.01774,81.14006,0.65320
cpall,24576,1,3,0.55052,79.36179,0.65140
cpall,24576,1,4,0.55105,79.40080,0.64709
cpall,28672,1,1,0.71764,126.18447,0.88873
cpall,28672,1,2,1.18017,126.19666,0.87660
cpall,28672,1,3,0.72549,126.21804,0.91429
cpall,28672,1,4,0.71841,126.18021,0.88657
cpall,1024,2,1,0.00506,0.00447,0.00297
cpall,1024,2,2,0.00307,0.00447,0.00254
cpall,1024,2,3,0.00301,0.00447,0.00235
cpall,1024,2,4,0.00366,0.00447,0.00224
cpall,2048,2,1,0.01614,0.03499,0.00722
cpall,2048,2,2,0.02049,0.03501,0.00760
cpall,2048,2,3,0.01473,0.03501,0.00634
cpall,2048,2,4,0.01278,0.03553,0.00804
cpall,4096,2,1,0.03717,0.27261,0.02207
cpall,4096,2,2,0.05855,0.25259,0.01989
cpall,4096,2,3,0.08953,0.21421,0.01993
cpall,4096,2,4,0.05123,0.18727,0.02228
cpall,8192,2,1,0.13358,1.45974,0.07276
cpall,8192,2,2,0.29974,1.45972,0.07274
cpall,8192,2,3,0.31083,1.46034,0.07369
cpall,8192,2,4,0.25196,1.46008,0.07314
cpall,12288,2,1,0.45991,4.94029,0.16264
cpall,12288,2,2,0.64759,4.94063,0.16355
cpall,12288,2,3,0.43907,5.01189,0.16256
cpall,12288,2,4,0.44316,4.95105,0.16533
cpall,16384,2,1,0.41256,11.72874,0.29019
cpall,16384,2,2,0.48522,11.73776,0.28890
cpall,16384,2,3,0.78216,11.75251,0.28773
cpall,16384,2,4,0.59641,11.74236,0.29245
cpall,20480,2,1,1.85427,22.96257,0.45428
cpall,20480,2,2,1.31070,23.07320,0.44939
cpall,20480,2,3,1.30717,22.97477,0.44821
cpall,20480,2,4,1.58656,23.05006,0.44860
cpall,24576,2,1,1.77477,39.78878,0.67865
cpall,24576,2,2,2.59500,39.78984,0.64436
