gpus,N,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time
10,1024,0.0168784,0.0074921,0.0409121,1.8981e-05,0,0.00611172,0.00610693
10,1024,0.0122263,0.00591856,0.0409174,2.3675e-05,0,0.00431444,0.00430895
10,1024,0.0162042,0.00563924,0.040951,2.1372e-05,0,0.00405864,0.00405171
10,1024,0.0118196,0.00566997,0.0409166,2.1467e-05,0,0.00443265,0.00442736
10,1024,0.0123964,0.00572356,0.0409216,2.1107e-05,0,0.00449636,0.00449114
11,1024,0.0113772,0.00499354,0.0327481,2.2454e-05,0,0.00372901,0.00372369
11,1024,0.0145301,0.00799248,0.0324496,2.4498e-05,0,0.00639109,0.00638608
11,1024,0.0149662,0.00500604,0.032669,2.0855e-05,0,0.0037403,0.00373281
11,1024,0.0165681,0.00491443,0.032648,2.2067e-05,0,0.00362588,0.00362003
11,1024,0.0154073,0.00550857,0.0327679,2.3644e-05,0,0.0038077,0.00379999
12,1024,0.0157875,0.00652607,0.0327831,2.1963e-05,0,0.00518508,0.00517856
12,1024,0.0163812,0.00769418,0.0327411,2.2711e-05,0,0.00573953,0.00573383
12,1024,0.017436,0.00767006,0.0327912,2.1884e-05,0,0.00638123,0.00637613
12,1024,0.0158754,0.00834344,0.0328047,2.1918e-05,0,0.00633037,0.00632297
12,1024,0.0174906,0.00936965,0.032655,2.1632e-05,0,0.00808388,0.00807744
13,1024,0.0191637,0.00510031,0.032808,2.1751e-05,0,0.00368192,0.00367274
13,1024,0.0181837,0.00649685,0.032764,3.0644e-05,0,0.00520698,0.00520185
13,1024,0.0165892,0.00518001,0.0324151,2.2303e-05,0,0.0038404,0.00383371
13,1024,0.0141219,0.00504992,0.0327887,2.1167e-05,0,0.0036932,0.00368629
13,1024,0.0172646,0.00819419,0.0327777,2.1882e-05,0,0.00690192,0.00689461
14,1024,0.0231647,0.00666622,0.0328137,2.1611e-05,0,0.0052724,0.00526554
14,1024,0.0163956,0.00640055,0.0327976,2.2831e-05,0,0.00506462,0.00505714
14,1024,0.0189801,0.00634894,0.0327858,2.0265e-05,0,0.00493964,0.00493328
14,1024,0.0189276,0.00635031,0.0327962,1.9774e-05,0,0.00497537,0.00496975
14,1024,0.0175147,0.00518225,0.0326664,2.1333e-05,0,0.00382611,0.00381957
15,1024,0.0199789,0.00865753,0.0319536,2.3409e-05,0,0.00654995,0.00654165
15,1024,0.0218227,0.00705932,0.0320379,2.5851e-05,0,0.00570555,0.00569885
15,1024,0.0198294,0.00537996,0.0324107,2.195e-05,0,0.00399969,0.00399246
15,1024,0.021835,0.00583671,0.0324129,2.3688e-05,0,0.00391117,0.00390384
15,1024,0.0161589,0.00824197,0.032421,2.2406e-05,0,0.00692039,0.00691175
16,1024,0.018735,0.00780459,0.0246568,2.5327e-05,0,0.00575505,0.00574723
16,1024,0.0192737,0.00679666,0.0249923,2.2741e-05,0,0.0053272,0.00532022
16,1024,0.018058,0.00705435,0.0250679,3.2311e-05,0,0.00526027,0.00525284
16,1024,0.0215749,0.00683937,0.025013,2.3435e-05,0,0.00501808,0.00501188
16,1024,0.0264108,0.00637034,0.0247005,2.4665e-05,0,0.00443027,0.00442317
1,1024,0.00117856,0.000707669,0.298789,N/A,N/A,N/A,N/A
1,1024,0.00177307,0.000818265,0.304178,N/A,N/A,N/A,N/A
1,1024,0.001198,0.000679569,0.301593,N/A,N/A,N/A,N/A
1,1024,0.00178578,0.000770523,0.297574,N/A,N/A,N/A,N/A
1,1024,0.00119194,0.000687675,0.310544,N/A,N/A,N/A,N/A
3,1024,0.00329086,0.00922859,0.112675,2.0921e-05,0,0.00834002,0.00833679
3,1024,0.00445893,0.009489,0.112683,1.7858e-05,0,0.00849188,0.00848686
3,1024,0.00328311,0.00926315,0.112731,1.8791e-05,0,0.00835949,0.00835358
3,1024,0.00440994,0.00924595,0.11267,2.0884e-05,0,0.00823475,0.0082301
3,1024,0.0072908,0.00907376,0.112673,2.0147e-05,0,0.00811559,0.00811212
4,1024,0.00500353,0.00853599,0.0815848,1.704e-05,0,0.00733561,0.00732984
