gpus,N,T,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time
2,16384,1,0.000549313,0.00622152,0.0410196,0.0146217,3.1499e-05,0.0202251,0.0201234
2,16384,1,0.000711348,0.00518282,0.0409446,0.0144373,1.7251e-05,0.0189774,0.0188443
2,16384,1,0.00154285,0.0035366,0.0354519,0.00871774,1.5435e-05,0.0117316,0.0116717
2,17408,1,0.000490642,0.00582561,0.0414135,0.0134217,3.3803e-05,0.0185658,0.0184916
2,17408,1,0.00168518,0.00721238,0.043777,0.0156823,2.8007e-05,0.021329,0.0212204
2,17408,1,0.00169557,0.00695365,0.0428109,0.0148135,3.9251e-05,0.0202329,0.0201289
2,18432,1,0.000588433,0.00487523,0.0421748,0.0125696,1.9067e-05,0.0167336,0.0166395
2,18432,1,0.000788809,0.00644415,0.0445828,0.01484,3.8483e-05,0.0204843,0.0203866
2,18432,1,0.000794181,0.0063406,0.0448127,0.0152048,2.5772e-05,0.0207721,0.0206614
2,19456,1,0.000591009,0.00470265,0.0421234,0.0108956,3.0452e-05,0.0150146,0.0149358
2,19456,1,0.000629562,0.00626189,0.0464035,0.0150982,2.4026e-05,0.020704,0.0205997
2,19456,1,0.000811851,0.00639193,0.045926,0.0146945,2.4166e-05,0.0203272,0.0202068
2,20480,1,0.000570681,0.00440188,0.0431349,0.0101946,3.0661e-05,0.0140289,0.0139589
2,20480,1,0.000704224,0.00638725,0.0475821,0.014711,1.9416e-05,0.0203894,0.0202739
2,20480,1,0.000844882,0.00637206,0.0475892,0.0146394,2.4025e-05,0.0202594,0.0200878
2,21504,1,0.000642208,0.00626843,0.0490637,0.014541,3.3804e-05,0.0201158,0.0200148
2,21504,1,0.00067245,0.00625229,0.049048,0.0145668,1.8299e-05,0.0202033,0.0200516
2,21504,1,0.000872627,0.00627063,0.0490761,0.0144314,3.7506e-05,0.0199341,0.0198238
2,22528,1,0.000556646,0.0057051,0.0506752,0.0145787,1.6971e-05,0.0196808,0.0195921
2,22528,1,0.000667067,0.00614769,0.0510973,0.0150007,3.2895e-05,0.0205281,0.0204265
2,22528,1,0.000925695,0.00586483,0.0505072,0.0142557,1.8159e-05,0.0194387,0.019303
2,23552,1,0.000727419,0.00626915,0.0529288,0.0152077,1.9905e-05,0.020735,0.020656
2,23552,1,0.000747386,0.00635743,0.0530519,0.0153095,2.0045e-05,0.0209809,0.020883
2,23552,1,0.000914113,0.00240975,0.0428204,0.00510557,1.341e-05,0.00706727,0.00701069
2,24576,1,0.000624262,0.00513148,0.0530054,0.0134502,1.4667e-05,0.018031,0.017958
2,24576,1,0.000635006,0.00610575,0.0539426,0.0145028,1.4387e-05,0.0200456,0.0199379
2,24576,1,0.00084677,0.00569069,0.0542399,0.0146864,1.9905e-05,0.0196003,0.0194882
2,25600,1,0.000666867,0.00453495,0.0529912,0.0119887,1.5994e-05,0.0159322,0.0158706
2,25600,1,0.000876467,0.00289935,0.0470175,0.00592511,1.2852e-05,0.00828632,0.0082317
2,25600,1,0.000991285,0.00648075,0.0558917,0.0147853,2.2629e-05,0.0204324,0.0203156
2,26624,1,0.00061524,0.0055857,0.0566389,0.0138529,1.2921e-05,0.0188622,0.0187793
2,26624,1,0.000684394,0.0057805,0.0567567,0.0140368,1.4737e-05,0.0191938,0.0191209
2,26624,1,0.00103326,0.00654187,0.0573755,0.0147283,3.8414e-05,0.0204384,0.0203358
2,27648,1,0.000685855,0.00614134,0.0588439,0.0145247,1.3899e-05,0.0200523,0.0199405
2,27648,1,0.000762333,0.00618457,0.0590013,0.0146355,1.6064e-05,0.0201516,0.0200224
2,27648,1,0.00108061,0.00649858,0.0598369,0.0154695,2.5073e-05,0.0211037,0.0209294
2,28672,1,0.000658826,0.00434792,0.0577115,0.0117581,1.4597e-05,0.0155125,0.0154401
2,28672,1,0.00109416,0.00654747,0.0607761,0.014666,2.1582e-05,0.0203587,0.020212
2,28672,1,0.00109429,0.00599069,0.059963,0.0139123,3.9112e-05,0.0191112,0.0190048
2,29696,1,0.000805426,0.00627781,0.0628291,0.0150554,3.7506e-05,0.0206504,0.020546
2,29696,1,0.00103494,0.00312592,0.0534615,0.00590842,1.2782e-05,0.0084457,0.00839709
2,29696,1,0.00111595,0.00648657,0.0632121,0.0155079,2.3537e-05,0.0211074,0.0209817
2,30720,1,0.000738237,0.00542859,0.0633711,0.0141857,2.5772e-05,0.0189397,0.0188335
2,30720,1,0.00115778,0.00659196,0.0637796,0.0146064,1.3689e-05,0.0203814,0.0202848
2,30720,1,0.00117413,0.00601255,0.0682103,0.0188176,4.854e-05,0.0240403,0.0239355
2,31744,1,0.000887771,0.00551855,0.114321,0.0135741,3.5899e-05,0.0183949,0.0183134
2,31744,1,0.00118041,0.00632956,0.115457,0.0144697,3.3245e-05,0.0200219,0.0199073
2,31744,1,0.00118153,0.00634779,0.115334,0.0145341,4.0788e-05,0.0200992,0.0200041
2,32768,1,0.000777768,0.00626985,0.11879,0.0148811,1.5644e-05,0.020516,0.0204092
2,32768,1,0.000785671,0.0039704,0.111212,0.00704401,1.3061e-05,0.0104796,0.0104396
2,32768,1,0.00123538,0.00637908,0.118809,0.0146707,1.5714e-05,0.020224,0.020134
2,33792,1,0.000821571,0.00349812,0.115511,0.00806694,1.2712e-05,0.0110391,0.0109858
2,33792,1,0.000906069,0.00629478,0.122312,0.0150109,3.2547e-05,0.0206308,0.0205449
2,33792,1,0.00127442,0.00638215,0.12186,0.0145028,1.6762e-05,0.0200268,0.0199395
2,34816,1,0.00078609,0.00305894,0.118645,0.00807169,1.2712e-05,0.0105935,0.0105469
2,34816,1,0.000979613,0.00622773,0.12509,0.0143323,1.4876e-05,0.0198182,0.0197188
2,34816,1,0.00128329,0.0048725,0.122463,0.011793,1.6972e-05,0.0158463,0.0157337
2,35840,1,0.000830298,0.00612771,0.128845,0.0149561,1.5785e-05,0.0204198,0.0203445
2,35840,1,0.000870811,0.00280841,0.119784,0.00586868,1.3271e-05,0.00815438,0.00811876
2,35840,1,0.00114759,0.00635066,0.128806,0.0150201,2.0395e-05,0.0205402,0.0204694
2,36864,1,0.000860602,0.00591204,0.131605,0.0143089,1.2781e-05,0.01953,0.0194327
2,36864,1,0.000941619,0.00620832,0.131431,0.0141556,1.355e-05,0.0196449,0.0195413
2,36864,1,0.00102571,0.00519706,0.129732,0.0124784,1.6902e-05,0.0169419,0.0168491
2,37888,1,0.000836656,0.00274213,0.126503,0.00583397,1.334e-05,0.00803069,0.00799032
2,37888,1,0.000940025,0.00519776,0.133098,0.0125475,3.2267e-05,0.0170664,0.0169784
2,37888,1,0.00138295,0.00643558,0.135033,0.0146013,3.6528e-05,0.0202242,0.0201251
2,38912,1,0.000909573,0.00287022,0.129373,0.0057093,1.2921e-05,0.00801588,0.00798054
2,38912,1,0.00103507,0.0058392,0.137919,0.0141795,3.0172e-05,0.0193007,0.0192268
2,38912,1,0.00143198,0.00645381,0.139007,0.0151942,3.136e-05,0.0208309,0.0207457
