gpus,N,T,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time
1,16384,1,0.000342931,0.000239912,0.0541847,N/A,N/A,N/A,N/A
1,16384,1,0.000351517,0.000245426,0.0540712,N/A,N/A,N/A,N/A
1,16384,1,0.000428135,0.00027944,0.0539594,N/A,N/A,N/A,N/A
1,17408,1,0.000307241,0.000250249,0.0574483,N/A,N/A,N/A,N/A
1,17408,1,0.000383296,0.000295016,0.0574386,N/A,N/A,N/A,N/A
1,17408,1,0.000385112,0.000302418,0.0573724,N/A,N/A,N/A,N/A
1,18432,1,0.000393982,0.000292501,0.0608327,N/A,N/A,N/A,N/A
1,18432,1,0.00039517,0.000322184,0.06075,N/A,N/A,N/A,N/A
1,18432,1,0.00040376,0.000327283,0.0607809,N/A,N/A,N/A,N/A
1,19456,1,0.000298997,0.000234392,0.0641824,N/A,N/A,N/A,N/A
1,19456,1,0.000345162,0.000273155,0.0641155,N/A,N/A,N/A,N/A
1,19456,1,0.000363252,0.00029718,0.064222,N/A,N/A,N/A,N/A
1,20480,1,0.000346071,0.00027525,0.0677111,N/A,N/A,N/A,N/A
1,20480,1,0.000445531,0.000317718,0.0677487,N/A,N/A,N/A,N/A
1,20480,1,0.000446364,0.000315968,0.0678032,N/A,N/A,N/A,N/A
1,21504,1,0.000446083,0.000321204,0.0709913,N/A,N/A,N/A,N/A
1,21504,1,0.000446852,0.00032358,0.0709862,N/A,N/A,N/A,N/A
1,21504,1,0.000460338,0.00031646,0.0710134,N/A,N/A,N/A,N/A
1,22528,1,0.000327565,0.000242845,0.0744234,N/A,N/A,N/A,N/A
1,22528,1,0.000351099,0.000277834,0.0745141,N/A,N/A,N/A,N/A
1,22528,1,0.000491349,0.000323516,0.0744968,N/A,N/A,N/A,N/A
1,23552,1,0.00048171,0.000341534,0.0778639,N/A,N/A,N/A,N/A
1,23552,1,0.000484225,0.000350615,0.0780147,N/A,N/A,N/A,N/A
1,23552,1,0.000498884,0.000344463,0.0779096,N/A,N/A,N/A,N/A
1,24576,1,0.000357529,0.000271691,0.0814316,N/A,N/A,N/A,N/A
1,24576,1,0.000392516,0.00028398,0.0813122,N/A,N/A,N/A,N/A
1,24576,1,0.000497425,0.000354385,0.0813203,N/A,N/A,N/A,N/A
1,25600,1,0.000369398,0.00028,0.0847887,N/A,N/A,N/A,N/A
1,25600,1,0.000376805,0.000286149,0.0847772,N/A,N/A,N/A,N/A
1,25600,1,0.000394336,0.000299348,0.0845467,N/A,N/A,N/A,N/A
1,26624,1,0.000415284,0.000291803,0.0880504,N/A,N/A,N/A,N/A
1,26624,1,0.000508949,0.000368005,0.088207,N/A,N/A,N/A,N/A
1,26624,1,0.000533596,0.000368907,0.0883266,N/A,N/A,N/A,N/A
1,27648,1,0.000443086,0.000322258,0.091689,N/A,N/A,N/A,N/A
1,27648,1,0.000476397,0.000326025,0.0915503,N/A,N/A,N/A,N/A
1,27648,1,0.000573059,0.000366744,0.0917674,N/A,N/A,N/A,N/A
1,28672,1,0.000494135,0.000359968,0.0949566,N/A,N/A,N/A,N/A
1,28672,1,0.000528016,0.000357598,0.0952732,N/A,N/A,N/A,N/A
1,28672,1,0.000575363,0.000383855,0.0950233,N/A,N/A,N/A,N/A
1,29696,1,0.000441755,0.000324419,0.0982401,N/A,N/A,N/A,N/A
1,29696,1,0.000451812,0.000326515,0.0983905,N/A,N/A,N/A,N/A
1,29696,1,0.000575713,0.000379734,0.0984722,N/A,N/A,N/A,N/A
1,30720,1,0.000603307,0.000386164,0.101772,N/A,N/A,N/A,N/A
1,30720,1,0.000615872,0.000388395,0.101774,N/A,N/A,N/A,N/A
1,30720,1,0.000619085,0.000392236,0.101785,N/A,N/A,N/A,N/A
1,31744,1,0.000615104,0.000361296,0.157079,N/A,N/A,N/A,N/A
1,31744,1,0.000626209,0.00035941,0.156677,N/A,N/A,N/A,N/A
1,31744,1,0.000629708,0.000358995,0.156902,N/A,N/A,N/A,N/A
1,32768,1,0.000637454,0.000368979,0.162062,N/A,N/A,N/A,N/A
1,32768,1,0.000656868,0.000385041,0.162104,N/A,N/A,N/A,N/A
1,32768,1,0.000663994,0.000371283,0.162095,N/A,N/A,N/A,N/A
1,33792,1,0.00062873,0.000373173,0.166892,N/A,N/A,N/A,N/A
1,33792,1,0.000652538,0.000370444,0.167132,N/A,N/A,N/A,N/A
1,33792,1,0.000703315,0.000376592,0.167115,N/A,N/A,N/A,N/A
1,34816,1,0.000489393,0.000340836,0.172397,N/A,N/A,N/A,N/A
1,34816,1,0.000667486,0.000383017,0.172398,N/A,N/A,N/A,N/A
1,34816,1,0.000670349,0.000395379,0.172139,N/A,N/A,N/A,N/A
1,35840,1,0.000470739,0.000349143,0.177578,N/A,N/A,N/A,N/A
1,35840,1,0.000693398,0.000384623,0.177383,N/A,N/A,N/A,N/A
1,35840,1,0.000694173,0.000388958,0.177566,N/A,N/A,N/A,N/A
1,36864,1,0.000522283,0.000367093,0.182415,N/A,N/A,N/A,N/A
1,36864,1,0.000714071,0.000402363,0.182679,N/A,N/A,N/A,N/A
1,36864,1,0.000725595,0.000395449,0.182644,N/A,N/A,N/A,N/A
1,37888,1,0.00051307,0.000374081,0.187742,N/A,N/A,N/A,N/A
1,37888,1,0.000524448,0.000376312,0.187853,N/A,N/A,N/A,N/A
1,37888,1,0.000752353,0.000406698,0.187685,N/A,N/A,N/A,N/A
1,38912,1,0.000527737,0.000377713,0.192647,N/A,N/A,N/A,N/A
1,38912,1,0.000560912,0.000382672,0.1928,N/A,N/A,N/A,N/A
1,38912,1,0.000743056,0.000408999,0.192718,N/A,N/A,N/A,N/A
1,39936,1,0.000709671,0.000420244,0.197767,N/A,N/A,N/A,N/A
1,39936,1,0.000766662,0.000402852,0.197733,N/A,N/A,N/A,N/A
1,39936,1,0.00082568,0.000412212,0.19764,N/A,N/A,N/A,N/A
1,40960,1,0.000522423,0.000391468,0.203356,N/A,N/A,N/A,N/A
1,40960,1,0.000554621,0.000402642,0.203013,N/A,N/A,N/A,N/A
1,40960,1,0.000784342,0.000426604,0.203044,N/A,N/A,N/A,N/A
1,41984,1,0.000787904,0.000422552,0.207905,N/A,N/A,N/A,N/A
1,41984,1,0.000789778,0.000440147,0.207908,N/A,N/A,N/A,N/A
1,41984,1,0.000793202,0.000433653,0.207791,N/A,N/A,N/A,N/A
1,43008,1,0.00059904,0.000415563,0.213187,N/A,N/A,N/A,N/A
1,43008,1,0.000606653,0.000413398,0.213082,N/A,N/A,N/A,N/A
1,43008,1,0.000674607,0.000423804,0.213196,N/A,N/A,N/A,N/A
1,44032,1,0.000595205,0.000420248,0.21808,N/A,N/A,N/A,N/A
1,44032,1,0.000795307,0.000430794,0.218155,N/A,N/A,N/A,N/A
1,44032,1,0.000826867,0.000465151,0.218496,N/A,N/A,N/A,N/A
1,45056,1,0.000627466,0.00043477,0.22333,N/A,N/A,N/A,N/A
1,45056,1,0.000636203,0.000424159,0.223439,N/A,N/A,N/A,N/A
1,45056,1,0.000874077,0.000453976,0.223208,N/A,N/A,N/A,N/A
1,46080,1,0.000680617,0.00043931,0.228394,N/A,N/A,N/A,N/A
1,46080,1,0.00071435,0.000443151,0.228334,N/A,N/A,N/A,N/A
1,46080,1,0.00073112,0.00045014,0.228472,N/A,N/A,N/A,N/A
1,47104,1,0.000663791,0.000451957,0.310427,N/A,N/A,N/A,N/A
1,47104,1,0.000677683,0.000453349,0.310716,N/A,N/A,N/A,N/A
1,47104,1,0.000876175,0.000456841,0.310011,N/A,N/A,N/A,N/A
1,48128,1,0.000639269,0.000453628,0.317096,N/A,N/A,N/A,N/A
1,48128,1,0.00090558,0.000458727,0.316883,N/A,N/A,N/A,N/A
1,48128,1,0.000907323,0.000461588,0.317232,N/A,N/A,N/A,N/A
1,49152,1,0.00065548,0.000467392,0.324469,N/A,N/A,N/A,N/A
1,49152,1,0.000674679,0.000480308,0.324253,N/A,N/A,N/A,N/A
1,49152,1,0.00091844,0.0004595,0.32426,N/A,N/A,N/A,N/A
1,50176,1,0.000680058,0.000475698,0.330814,N/A,N/A,N/A,N/A
1,50176,1,0.000940092,0.000482268,0.330715,N/A,N/A,N/A,N/A
1,50176,1,0.00096278,0.000474441,0.330845,N/A,N/A,N/A,N/A
1,51200,1,0.000660229,0.000484853,0.337696,N/A,N/A,N/A,N/A
1,51200,1,0.000693266,0.00049051,0.337438,N/A,N/A,N/A,N/A
1,51200,1,0.000695493,0.000479609,0.337405,N/A,N/A,N/A,N/A
1,52224,1,0.000695283,0.000496162,0.344077,N/A,N/A,N/A,N/A
1,52224,1,0.000975277,0.000493436,0.344686,N/A,N/A,N/A,N/A
1,52224,1,0.000983311,0.000510478,0.344223,N/A,N/A,N/A,N/A
1,53248,1,0.000709329,0.000504409,0.350935,N/A,N/A,N/A,N/A
1,53248,1,0.00098144,0.000503431,0.351156,N/A,N/A,N/A,N/A
1,53248,1,0.000985546,0.0005095,0.351274,N/A,N/A,N/A,N/A
1,54272,1,0.000992184,0.0005102,0.35823,N/A,N/A,N/A,N/A
1,54272,1,0.00100058,0.000507412,0.358161,N/A,N/A,N/A,N/A
1,54272,1,0.00101209,0.000512784,0.358451,N/A,N/A,N/A,N/A
1,55296,1,0.000732029,0.000528366,0.365043,N/A,N/A,N/A,N/A
1,55296,1,0.000742215,0.000523958,0.364728,N/A,N/A,N/A,N/A
1,55296,1,0.001019,0.000522143,0.365167,N/A,N/A,N/A,N/A
