gpus,N,T,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time,node,blocksize
1,61440,1,0.000718772,0.000728888,0.375125,N/A,N/A,N/A,N/A,homepc,1024
1,61440,1,0.000721161,0.000738179,0.392722,N/A,N/A,N/A,N/A,homepc,256
1,61440,1,0.000727305,0.00071938,0.458776,N/A,N/A,N/A,N/A,homepc,768
1,61440,1,0.000743006,0.000700968,0.434783,N/A,N/A,N/A,N/A,homepc,384
1,61440,1,0.00075765,0.0007115,0.445263,N/A,N/A,N/A,N/A,homepc,640
1,61440,1,0.000910693,0.000733415,0.341703,N/A,N/A,N/A,N/A,homepc,128
1,61440,1,0.00095477,0.00081919,0.376413,N/A,N/A,N/A,N/A,homepc,512
1,61440,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,homepc,896
1,61568,1,0.000930965,0.000723655,0.387144,N/A,N/A,N/A,N/A,homepc,128
1,61696,1,0.000715784,0.000730583,0.440767,N/A,N/A,N/A,N/A,homepc,256
1,61696,1,0.000773862,0.000728198,0.387335,N/A,N/A,N/A,N/A,homepc,128
1,61824,1,0.000716103,0.000822185,0.441993,N/A,N/A,N/A,N/A,homepc,384
1,61824,1,0.000720391,0.000731389,0.388965,N/A,N/A,N/A,N/A,homepc,128
1,61952,1,0.000719017,0.000696979,0.389932,N/A,N/A,N/A,N/A,homepc,128
1,61952,1,0.000810877,0.000732021,0.442607,N/A,N/A,N/A,N/A,homepc,256
1,61952,1,0.000845116,0.000724174,0.395352,N/A,N/A,N/A,N/A,homepc,512
1,62080,1,0.000728268,0.000731791,0.390781,N/A,N/A,N/A,N/A,homepc,128
1,62080,1,0.000730915,0.000703777,0.435776,N/A,N/A,N/A,N/A,homepc,640
1,62208,1,0.000723767,0.000704111,0.447148,N/A,N/A,N/A,N/A,homepc,256
1,62208,1,0.000729088,0.000723309,0.391639,N/A,N/A,N/A,N/A,homepc,128
1,62208,1,0.000729264,0.00072346,0.458504,N/A,N/A,N/A,N/A,homepc,768
1,62208,1,0.000823924,0.000729497,0.444035,N/A,N/A,N/A,N/A,homepc,384
1,62336,1,0.000742825,0.000730929,0.391927,N/A,N/A,N/A,N/A,homepc,128
1,62336,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,homepc,896
1,62464,1,0.000723094,0.000705167,0.399328,N/A,N/A,N/A,N/A,homepc,512
1,62464,1,0.000753286,0.000769119,0.44704,N/A,N/A,N/A,N/A,homepc,256
1,62464,1,0.000830491,0.000700776,0.44544,N/A,N/A,N/A,N/A,homepc,1024
1,62464,1,0.000848984,0.000718619,0.394772,N/A,N/A,N/A,N/A,homepc,128
1,62592,1,0.000739535,0.000819545,0.393733,N/A,N/A,N/A,N/A,homepc,128
1,62592,1,0.000742724,0.000766653,0.444521,N/A,N/A,N/A,N/A,homepc,384
1,62720,1,0.00072504,0.000710169,0.448817,N/A,N/A,N/A,N/A,homepc,640
1,62720,1,0.000729318,0.000724777,0.39517,N/A,N/A,N/A,N/A,homepc,128
1,62720,1,0.000829315,0.00073023,0.444418,N/A,N/A,N/A,N/A,homepc,256
1,62848,1,0.000726418,0.000716449,0.395644,N/A,N/A,N/A,N/A,homepc,128
1,62976,1,0.000726081,0.000737886,0.441367,N/A,N/A,N/A,N/A,homepc,384
1,62976,1,0.000731978,0.000799353,0.447914,N/A,N/A,N/A,N/A,homepc,256
1,62976,1,0.000738878,0.00074263,0.461718,N/A,N/A,N/A,N/A,homepc,768
1,62976,1,0.000740331,0.00075689,0.39737,N/A,N/A,N/A,N/A,homepc,128
1,62976,1,0.000740439,0.000814778,0.4017,N/A,N/A,N/A,N/A,homepc,512
1,63104,1,0.000735316,0.000745323,0.397971,N/A,N/A,N/A,N/A,homepc,128
1,63232,1,0.000732903,0.000739553,0.455633,N/A,N/A,N/A,N/A,homepc,256
1,63232,1,0.000758272,0.00072367,0.398788,N/A,N/A,N/A,N/A,homepc,128
1,63232,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,homepc,896
1,63360,1,0.000732382,0.000716073,0.445345,N/A,N/A,N/A,N/A,homepc,640
1,63360,1,0.000736359,0.000728676,0.452052,N/A,N/A,N/A,N/A,homepc,384
1,63360,1,0.000749066,0.00076486,0.399399,N/A,N/A,N/A,N/A,homepc,128
1,63488,1,0.000735472,0.000766303,0.405738,N/A,N/A,N/A,N/A,homepc,512
1,63488,1,0.000737009,0.000728165,0.461517,N/A,N/A,N/A,N/A,homepc,1024
1,63488,1,0.000745082,0.000749518,0.454677,N/A,N/A,N/A,N/A,homepc,256
1,63488,1,0.000745597,0.000761484,0.402259,N/A,N/A,N/A,N/A,homepc,128
1,63616,1,0.000740126,0.000737408,0.400846,N/A,N/A,N/A,N/A,homepc,128
1,63744,1,0.00073541,0.000755795,0.461409,N/A,N/A,N/A,N/A,homepc,256
1,63744,1,0.000737504,0.0007446,0.402892,N/A,N/A,N/A,N/A,homepc,128
1,63744,1,0.000740594,0.000737295,0.463569,N/A,N/A,N/A,N/A,homepc,768
1,63744,1,0.00075509,0.000714871,0.452587,N/A,N/A,N/A,N/A,homepc,384
1,63872,1,0.000735337,0.000718657,0.404196,N/A,N/A,N/A,N/A,homepc,128
1,64000,1,0.000735519,0.000748271,0.409577,N/A,N/A,N/A,N/A,homepc,512
1,64000,1,0.00076368,0.00071742,0.460502,N/A,N/A,N/A,N/A,homepc,256
1,64000,1,0.000786613,0.000715649,0.453125,N/A,N/A,N/A,N/A,homepc,640
1,64000,1,0.000910521,0.000836534,0.404729,N/A,N/A,N/A,N/A,homepc,128
1,64128,1,0.000745828,0.000715137,0.451378,N/A,N/A,N/A,N/A,homepc,384
1,64128,1,0.000993606,0.000728524,0.406709,N/A,N/A,N/A,N/A,homepc,128
1,64128,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,homepc,896
1,64256,1,0.000748999,0.000817046,0.459636,N/A,N/A,N/A,N/A,homepc,256
1,64256,1,0.000826527,0.00075391,0.40874,N/A,N/A,N/A,N/A,homepc,128
1,64384,1,0.000765212,0.000766321,0.408498,N/A,N/A,N/A,N/A,homepc,128
1,64512,1,0.000743162,0.000753808,0.413308,N/A,N/A,N/A,N/A,homepc,512
1,64512,1,0.000743379,0.00087374,0.467438,N/A,N/A,N/A,N/A,homepc,768
1,64512,1,0.00074409,0.000759822,0.465467,N/A,N/A,N/A,N/A,homepc,256
1,64512,1,0.000754151,0.000746934,0.45663,N/A,N/A,N/A,N/A,homepc,384
