N,gpus,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time
10240,10,0.00111311,0.00363617,19.7817,0.0375954,6.64168,0.0215443,0.0187885
10240,10,0.0010642,0.00376571,19.7679,0.0364599,6.62332,0.019105,0.0162231
10240,10,0.00112868,0.00383928,19.7883,0.0521904,6.60839,0.0354507,0.03248
10240,10,0.00107947,0.00362191,19.7384,0.0481844,6.56335,0.0313735,0.0286494
10240,10,0.00107284,0.00389663,19.7813,0.0376868,6.63371,0.0215905,0.0185522
10240,11,0.00111934,0.00411103,21.1622,0.0474114,7.98928,0.0312013,0.0280621
10240,11,0.00114706,0.00408023,21.1808,0.0407935,7.99054,0.023032,0.0199206
10240,11,0.0012288,0.00418037,21.1422,0.0401994,7.94126,0.0236778,0.0204552
10240,11,0.00122732,0.00429446,21.0602,0.042254,7.86343,0.0263908,0.0230555
10240,11,0.00122257,0.00417689,21.1108,0.0370205,7.91765,0.0206079,0.0173952
10240,12,0.00130625,0.00441899,22.8384,0.0441877,9.53056,0.0266748,0.0232755
10240,12,0.00123068,0.00447051,23.0456,0.0431542,9.55884,0.0271433,0.0237191
10240,12,0.00142496,0.0045717,22.8823,0.0403605,9.57848,0.0242614,0.0207941
10240,12,0.00124718,0.00423155,23.2209,0.0434392,9.60988,0.0275554,0.0243489
10240,12,0.00117795,0.00395268,22.8631,0.0397797,9.59491,0.0230013,0.020146
10240,13,0.00134699,0.00410226,27.757,0.0498276,11.5061,0.0320104,0.0290642
10240,13,0.00143887,0.00391116,27.8019,0.0506096,11.4741,0.0321108,0.0293611
10240,13,0.00134324,0.00429018,28.6095,0.0449377,11.8901,0.0279587,0.0248577
10240,13,0.00133861,0.00408687,28.476,0.0426816,11.8112,0.0252032,0.0222941
10240,13,0.00150716,0.00502721,28.1848,0.0423043,11.512,0.0255507,0.0217667
10240,14,0.00154407,0.00449894,34.0279,0.0539889,14.2415,0.0353486,0.0321262
10240,14,0.0015276,0.00529591,34.2317,0.0448944,14.3724,0.0291191,0.0251607
10240,14,0.00145387,0.00428221,34.3896,0.0500587,14.5249,0.0327174,0.0297278
10240,14,0.00141259,0.0064133,34.2018,0.0526993,14.3267,0.0379897,0.0330059
10240,14,0.00151898,0.00466174,34.4588,0.0440693,14.5429,0.0271323,0.0236876
10240,15,0.00155725,0.00601673,36.7535,0.0606861,16.6907,0.0429433,0.0383888
10240,15,0.00159963,0.00461074,36.6457,0.050477,16.6346,0.0324321,0.0291908
10240,15,0.00148541,0.00424351,36.7427,0.0488105,16.7207,0.0305101,0.0276498
10240,15,0.00163907,0.00441141,36.7165,0.0440693,16.6725,0.0249839,0.0220428
10240,15,0.00154978,0.00431375,36.7042,0.0636235,16.6609,0.0445181,0.0415565
