gpus,N,T,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time,node,blocksize
1,16384,50,0.000549848,0.000243787,1.37558,N/A,N/A,N/A,N/A,victoria,1024
1,16384,50,0.00059901,0.000191412,1.34409,N/A,N/A,N/A,N/A,victoria,1024
1,16384,50,0.000681349,0.00024221,1.3751,N/A,N/A,N/A,N/A,victoria,1024
1,28672,50,0.000442509,0.000352855,4.22609,N/A,N/A,N/A,N/A,victoria,1024
1,28672,50,0.000543215,0.000302488,4.21045,N/A,N/A,N/A,N/A,victoria,1024
1,28672,50,0.000787152,0.000381525,4.24357,N/A,N/A,N/A,N/A,victoria,1024
1,40960,50,0.00109809,0.000493341,6.09589,N/A,N/A,N/A,N/A,victoria,1024
1,40960,50,0.00111754,0.000566902,6.09494,N/A,N/A,N/A,N/A,victoria,1024
1,40960,50,0.00120327,0.00048705,6.09745,N/A,N/A,N/A,N/A,victoria,1024
1,53248,50,0.00138626,0.00061976,8.0134,N/A,N/A,N/A,N/A,victoria,1024
1,53248,50,0.00151397,0.000631174,8.02739,N/A,N/A,N/A,N/A,victoria,1024
1,53248,50,0.00151834,0.000678398,7.98277,N/A,N/A,N/A,N/A,victoria,1024
1,65536,50,0.00177584,0.000866987,14.2837,N/A,N/A,N/A,N/A,victoria,1024
1,65536,50,0.00181241,0.000739085,14.3116,N/A,N/A,N/A,N/A,victoria,1024
1,65536,50,0.00184795,0.000817728,14.3188,N/A,N/A,N/A,N/A,victoria,1024
1,77824,50,0.00090839,0.00103748,17.2742,N/A,N/A,N/A,N/A,victoria,1024
1,77824,50,0.00212277,0.000858083,17.278,N/A,N/A,N/A,N/A,victoria,1024
1,77824,50,0.0021926,0.000982791,17.3013,N/A,N/A,N/A,N/A,victoria,1024
1,90112,50,0.00222445,0.00108019,26.0206,N/A,N/A,N/A,N/A,victoria,1024
1,90112,50,0.0024342,0.000948875,25.9982,N/A,N/A,N/A,N/A,victoria,1024
1,90112,50,0.00250102,0.00097261,26.0528,N/A,N/A,N/A,N/A,victoria,1024
1,102400,50,0.00271822,0.00122711,30.0124,N/A,N/A,N/A,N/A,victoria,1024
1,102400,50,0.00281414,0.00105902,30.0144,N/A,N/A,N/A,N/A,victoria,1024
1,102400,50,0.00281466,0.00104225,30.02,N/A,N/A,N/A,N/A,victoria,1024
1,114688,50,0.00309613,0.00117434,41.0896,N/A,N/A,N/A,N/A,victoria,1024
1,114688,50,0.00314349,0.00111217,41.0955,N/A,N/A,N/A,N/A,victoria,1024
1,114688,50,0.00315634,0.00122501,41.1037,N/A,N/A,N/A,N/A,victoria,1024
1,126976,50,0.00236746,0.00126602,46.3858,N/A,N/A,N/A,N/A,victoria,1024
1,126976,50,0.00311026,0.00132198,46.3767,N/A,N/A,N/A,N/A,victoria,1024
1,126976,50,0.00341361,0.00146065,46.3716,N/A,N/A,N/A,N/A,victoria,1024
1,139264,50,0.00339317,0.00142398,59.7973,N/A,N/A,N/A,N/A,victoria,1024
1,139264,50,0.00367722,0.00132306,59.8142,N/A,N/A,N/A,N/A,victoria,1024
1,139264,50,0.00370383,0.00107075,59.7541,N/A,N/A,N/A,N/A,victoria,1024
1,151552,50,0.00404774,0.00143543,66.2381,N/A,N/A,N/A,N/A,victoria,1024
1,151552,50,0.00405083,0.0015953,66.2101,N/A,N/A,N/A,N/A,victoria,1024
1,151552,50,0.0041058,0.00143641,66.2167,N/A,N/A,N/A,N/A,victoria,1024
1,163840,50,0.00429053,0.00127972,81.9793,N/A,N/A,N/A,N/A,victoria,1024
1,163840,50,0.00439324,0.00121992,82.0719,N/A,N/A,N/A,N/A,victoria,1024
1,163840,50,0.0044065,0.00152441,82.0244,N/A,N/A,N/A,N/A,victoria,1024
1,176128,50,0.00366609,0.00165849,89.6696,N/A,N/A,N/A,N/A,victoria,1024
1,176128,50,0.00466429,0.00142037,89.6785,N/A,N/A,N/A,N/A,victoria,1024
1,176128,50,0.00467114,0.00136753,89.6299,N/A,N/A,N/A,N/A,victoria,1024
1,188416,50,0.00406899,0.00150683,107.618,N/A,N/A,N/A,N/A,victoria,1024
1,188416,50,0.00454587,0.00145756,107.76,N/A,N/A,N/A,N/A,victoria,1024
1,188416,50,0.00496735,0.00186732,107.402,N/A,N/A,N/A,N/A,victoria,1024
1,200704,50,0.00429136,0.00198374,116.488,N/A,N/A,N/A,N/A,victoria,1024
1,200704,50,0.00526991,0.00188708,116.587,N/A,N/A,N/A,N/A,victoria,1024
1,200704,50,0.00538582,0.00162673,116.261,N/A,N/A,N/A,N/A,victoria,1024
1,212992,50,0.00470973,0.00210343,125.918,N/A,N/A,N/A,N/A,victoria,1024
1,212992,50,0.00564979,0.00213953,125.847,N/A,N/A,N/A,N/A,victoria,1024
1,212992,50,0.00570313,0.00164247,125.788,N/A,N/A,N/A,N/A,victoria,1024
1,225280,50,0.00271726,0.00250406,146.358,N/A,N/A,N/A,N/A,victoria,1024
1,225280,50,0.00596792,0.00221658,146.482,N/A,N/A,N/A,N/A,victoria,1024
1,225280,50,0.006041,0.00151031,146.309,N/A,N/A,N/A,N/A,victoria,1024
1,237568,50,0.00345702,0.00185551,156.888,N/A,N/A,N/A,N/A,victoria,1024
1,237568,50,0.00436916,0.00201578,157.096,N/A,N/A,N/A,N/A,victoria,1024
1,237568,50,0.00458091,0.00156201,156.985,N/A,N/A,N/A,N/A,victoria,1024
1,249856,50,0.00378378,0.00190138,180.091,N/A,N/A,N/A,N/A,victoria,1024
1,249856,50,0.00594931,0.00161351,179.984,N/A,N/A,N/A,N/A,victoria,1024
1,249856,50,0.00661039,0.00168321,180.02,N/A,N/A,N/A,N/A,victoria,1024
1,262144,50,0.00188202,0.00273988,191.5,N/A,N/A,N/A,N/A,victoria,1024
1,262144,50,0.00332086,0.00184299,191.629,N/A,N/A,N/A,N/A,victoria,1024
1,262144,50,0.00713686,0.0015065,191.84,N/A,N/A,N/A,N/A,victoria,1024
1,274432,50,0.00700828,0.00162975,216.716,N/A,N/A,N/A,N/A,victoria,1024
1,274432,50,0.00707655,0.00253641,216.873,N/A,N/A,N/A,N/A,victoria,1024
1,274432,50,0.00709321,0.00178559,216.645,N/A,N/A,N/A,N/A,victoria,1024
2,16384,50,0.000710346,0.000536063,1.26399,0.0167606,0.0106891,0.0161106,0.0158579,victoria,1024
2,16384,50,0.000718248,0.000438198,1.27251,0.0146356,0.0102954,0.0138812,0.0137233,victoria,1024
2,16384,50,0.000723423,0.000422353,1.2813,0.0163156,0.0106344,0.015544,0.0154059,victoria,1024
2,28672,50,0.000913442,0.00053502,2.32242,0.0157462,0.0113109,0.0149283,0.0147716,victoria,1024
2,28672,50,0.000923159,0.000571511,2.34866,0.0151431,0.0115906,0.0143788,0.0142273,victoria,1024
2,28672,50,0.000996021,0.000537669,2.35094,0.0152488,0.0116234,0.0144741,0.0142963,victoria,1024
2,40960,50,0.00128397,0.000787694,3.31186,0.0154687,0.0126136,0.0147079,0.0145226,victoria,1024
2,40960,50,0.00137188,0.000666997,3.30639,0.0149289,0.0128417,0.0141628,0.0140107,victoria,1024
2,40960,50,0.0013764,0.000649611,3.30811,0.0148692,0.0125957,0.0140885,0.0139277,victoria,1024
2,53248,50,0.000902121,0.000716968,4.23666,0.0164148,0.014188,0.0156648,0.0155197,victoria,1024
2,53248,50,0.00158592,0.000751307,4.24375,0.0150898,0.0140651,0.0143061,0.0141363,victoria,1024
2,53248,50,0.00159491,0.000783967,4.2553,0.0159762,0.0141581,0.0151407,0.014979,victoria,1024
2,65536,50,0.00191154,0.00124217,9.79674,0.0153792,0.0149722,0.0145737,0.014371,victoria,1024
2,65536,50,0.00192363,0.00139091,9.75211,0.0158552,0.0150113,0.015102,0.0148177,victoria,1024
2,65536,50,0.002151,0.00121653,9.80477,0.0154256,0.0162964,0.0146251,0.0144023,victoria,1024
2,77824,50,0.00176561,0.00114395,11.7516,0.0156904,0.0159177,0.0148157,0.0146108,victoria,1024
2,77824,50,0.0022557,0.00143585,11.7157,0.0149883,0.0162773,0.0137217,0.0134653,victoria,1024
2,77824,50,0.00235783,0.00146904,11.7435,0.0157305,0.0171591,0.0148522,0.0145792,victoria,1024
2,90112,50,0.00273817,0.00160775,13.6559,0.0157988,0.0177931,0.014989,0.0147092,victoria,1024
