gpus,N,T,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time
1,16384,1,0.000306157,0.000245235,0.0372501,N/A,N/A,N/A,N/A
1,16384,1,0.000542978,0.000220486,0.0367954,N/A,N/A,N/A,N/A
1,16384,1,0.000570833,0.000215005,0.0372558,N/A,N/A,N/A,N/A
1,32768,1,0.000502169,0.000349251,0.144192,N/A,N/A,N/A,N/A
1,32768,1,0.000959194,0.000427186,0.144199,N/A,N/A,N/A,N/A
1,32768,1,0.0010114,0.000405266,0.144244,N/A,N/A,N/A,N/A
1,49152,1,0.000693499,0.000447833,0.219382,N/A,N/A,N/A,N/A
1,49152,1,0.00140379,0.00055778,0.219167,N/A,N/A,N/A,N/A
1,49152,1,0.00143242,0.00054734,0.221537,N/A,N/A,N/A,N/A
2,16384,1,0.00056375,0.00201155,0.0375096,0.00447273,1.045e-05,0.00613638,0.0061127
2,16384,1,0.00068947,0.00204914,0.0373012,0.00430922,1.045e-05,0.00595486,0.00592246
2,16384,1,0.000720611,0.00198015,0.0373133,0.00430533,1.0716e-05,0.00591002,0.00588919
2,32768,1,0.000594469,0.00271185,0.0811145,0.00467957,1.1168e-05,0.00688619,0.00685329
2,32768,1,0.00103447,0.00271129,0.0824254,0.00592969,1.625e-05,0.00797669,0.00795141
2,32768,1,0.00110502,0.00236234,0.081029,0.00451729,1.0539e-05,0.00634809,0.00632161
2,49152,1,0.00151617,0.00234568,0.119886,0.0046292,1.0762e-05,0.00630821,0.00627551
2,49152,1,0.001614,0.00305283,0.120442,0.005119,1.0692e-05,0.00747384,0.00744533
2,49152,1,0.00162028,0.00255902,0.120267,0.00495691,1.5653e-05,0.00667904,0.0066291
2,65536,1,0.0019485,0.00237571,0.298919,0.00518849,1.0551e-05,0.00687163,0.00684974
2,65536,1,0.0019627,0.00250382,0.296447,0.0047009,1.0486e-05,0.00643651,0.00640858
2,65536,1,0.00209927,0.00281287,0.294031,0.00483711,1.052e-05,0.00686266,0.00682551
2,81920,1,0.00266201,0.00255938,0.350669,0.00463684,1.0801e-05,0.0063321,0.00630888
2,81920,1,0.00276463,0.00320165,0.365355,0.00539178,2.6947e-05,0.00753495,0.00749511
2,81920,1,0.00276654,0.00339048,0.368302,0.00564858,1.7594e-05,0.00793287,0.00789297
2,98304,1,0.00301671,0.00298113,0.432604,0.00500839,1.0419e-05,0.00711059,0.00707986
2,98304,1,0.00301896,0.00320349,0.421249,0.0047932,1.0811e-05,0.00712334,0.0071029
2,98304,1,0.00309217,0.00281492,0.430538,0.00561782,1.7372e-05,0.00732753,0.00730667
2,114688,1,0.00323966,0.00308559,0.674323,0.00501196,1.1012e-05,0.00702647,0.00699037
2,114688,1,0.00332218,0.00383089,0.687558,0.0047093,1.1386e-05,0.00732666,0.00730039
2,114688,1,0.00411202,0.00298693,0.666333,0.00448781,2.7163e-05,0.00649392,0.00645278
2,131072,1,0.00202865,0.0029257,0.769196,0.00538746,1.2075e-05,0.00740706,0.00738481
2,131072,1,0.00396747,0.00305011,0.773749,0.00483652,1.0578e-05,0.00678838,0.00675685
2,131072,1,0.00398036,0.00274763,0.748482,0.00440374,1.0479e-05,0.00612908,0.00609683
2,147456,1,0.0023026,0.00300146,0.854933,0.00444162,6.2363e-05,0.00615834,0.00613062
2,147456,1,0.00233097,0.00262332,0.854158,0.00479267,1.0735e-05,0.00642647,0.00640646
2,147456,1,0.00408559,0.00346428,0.854103,0.00478709,1.0457e-05,0.00714046,0.00709128
2,163840,1,0.00396632,0.00353434,1.11193,0.00495274,1.0789e-05,0.00730729,0.00728713
2,163840,1,0.00489626,0.00409738,1.14488,0.00549523,3.1186e-05,0.00782042,0.00779539
2,163840,1,0.0049113,0.00367594,1.15633,0.00457617,1.0456e-05,0.00681732,0.00676009
2,180224,1,0.0040818,0.00359092,1.23804,0.0051925,1.7463e-05,0.00736284,0.00733983
2,180224,1,0.00533358,0.00381939,1.26433,0.00447012,3.5279e-05,0.0065274,0.00649352
2,180224,1,0.0053806,0.00401428,1.25928,0.00561447,1.5038e-05,0.0074455,0.00741352
2,196608,1,0.00542472,0.00446145,1.34754,0.00502861,1.6457e-05,0.00705802,0.00703445
2,196608,1,0.00543297,0.00446964,1.36909,0.00649249,2.67e-05,0.00894258,0.00889984
2,196608,1,0.00584486,0.00366191,1.34246,0.00464207,2.7451e-05,0.00642971,0.00640361
2,212992,1,0.00410597,0.00732843,1.45294,0.00568862,1.1235e-05,0.00790554,0.00787522
2,212992,1,0.00504722,0.00425994,1.46096,0.00452746,2.4326e-05,0.00624808,0.00622702
2,212992,1,0.00631754,0.00451186,1.47673,0.00476892,2.5771e-05,0.00714995,0.00712156
2,229376,1,0.0040815,0.0035709,1.86728,0.00474433,2.8795e-05,0.00695549,0.00691961
2,229376,1,0.00676937,0.0044727,1.87185,0.00457047,2.9322e-05,0.00655268,0.00653082
2,229376,1,0.00683005,0.00402538,1.88107,0.00480717,2.6549e-05,0.00667342,0.00665123
2,245760,1,0.00308067,0.00327532,2.01662,0.00449166,2.4669e-05,0.00638643,0.00636313
2,245760,1,0.00669009,0.00455538,1.99875,0.00468689,2.3386e-05,0.00699465,0.00697038
2,245760,1,0.00688718,0.00443554,1.99363,0.00455997,2.3448e-05,0.00675529,0.006712
2,262144,1,0.00777954,0.00469033,2.16626,0.00476708,6.4251e-05,0.00680686,0.00677157
2,262144,1,0.00785213,0.00454493,2.15971,0.00538538,6.7583e-05,0.00734477,0.00731557
2,262144,1,0.0118762,0.00487092,2.16628,0.00515141,1.9449e-05,0.00739163,0.00736335
2,278528,1,0.00368174,0.00358553,2.66203,0.00448906,1.5195e-05,0.00621944,0.00619855
2,278528,1,0.00805675,0.00488652,2.63062,0.00524297,2.5442e-05,0.00727325,0.00724029
2,278528,1,0.00842988,0.00585561,2.62728,0.00538987,3.887e-05,0.00764974,0.00761827
2,294912,1,0.00479044,0.00365507,2.83289,0.00452866,2.5893e-05,0.0063836,0.00634999
2,294912,1,0.0087998,0.00550682,2.79281,0.00505362,3.151e-05,0.00762531,0.00759455
2,294912,1,0.00988843,0.00489718,2.81009,0.00502216,2.8123e-05,0.00692263,0.0068932
2,311296,1,0.00892789,0.00539673,2.97017,0.00549975,1.4955e-05,0.00763989,0.00760657
2,311296,1,0.00893274,0.00644199,2.99931,0.00521167,3.7815e-05,0.00733412,0.00728508
2,311296,1,0.00897762,0.0047823,2.96796,0.00473428,5.8203e-05,0.00671558,0.00668096
2,327680,1,0.00547022,0.00544384,3.57253,0.00487129,5.2153e-05,0.00755913,0.00753235
2,327680,1,0.00851307,0.00489194,3.54384,0.00488791,2.5816e-05,0.00688502,0.00685324
2,327680,1,0.00938598,0.00484528,3.55148,0.00454185,3.3693e-05,0.0064947,0.00647272
2,344064,1,0.00537387,0.00390275,3.74659,0.00497259,2.4944e-05,0.00699889,0.00697594
2,344064,1,0.00877335,0.00525258,3.76998,0.00471426,2.439e-05,0.00662227,0.00659199
2,344064,1,0.00984901,0.00527624,3.73036,0.00515655,2.6667e-05,0.00720608,0.00716665
3,16384,1,0.000789389,0.00216736,0.0377507,0.00473971,1.4096e-05,0.00643499,0.00640615
3,16384,1,0.000798722,0.00219148,0.037379,0.00437291,1.4123e-05,0.00606196,0.00601722
3,16384,1,0.00080659,0.00251243,0.0383037,0.00566427,2.0798e-05,0.00762091,0.00759444
3,49152,1,0.00100014,0.00273333,0.121169,0.00548638,2.5001e-05,0.00751748,0.00749013
3,49152,1,0.00102779,0.00224572,0.121481,0.00572507,1.3927e-05,0.00736935,0.00734551
3,49152,1,0.00175063,0.00303887,0.120339,0.00538,2.148e-05,0.00748098,0.00743914
3,81920,1,0.00261106,0.00257221,0.339587,0.00514316,1.3997e-05,0.00682803,0.00680584
3,81920,1,0.00261966,0.00292432,0.332054,0.00446632,1.405e-05,0.00650942,0.00648384
3,81920,1,0.00282802,0.00259422,0.340103,0.00474556,1.4271e-05,0.00645494,0.00642672
3,114688,1,0.00220523,0.00300807,0.495356,0.00539611,2.5327e-05,0.00730967,0.00728444
3,114688,1,0.00381461,0.00388725,0.489207,0.00467256,1.4083e-05,0.00700526,0.00695804
3,114688,1,0.00439973,0.00292974,0.478119,0.00456734,1.4016e-05,0.00640201,0.00637698
3,147456,1,0.00284975,0.00368535,0.626625,0.00690908,2.4131e-05,0.00929094,0.00926149
3,147456,1,0.00478118,0.00327325,0.623958,0.00483965,1.4186e-05,0.00687427,0.0068437
3,147456,1,0.00561227,0.00287963,0.622573,0.00456226,1.3997e-05,0.00620664,0.00617856
3,180224,1,0.00425148,0.00365195,0.996706,0.00487513,2.4701e-05,0.00681272,0.00678057
