gpus,N,T,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time,node,blocksize
1,61440,1,0.00172315,0.000650358,0.375943,N/A,N/A,N/A,N/A,victoria,1024
1,61440,1,0.00172343,0.000743347,0.38227,N/A,N/A,N/A,N/A,victoria,1024
1,61440,1,0.0017242,0.000705347,0.391549,N/A,N/A,N/A,N/A,victoria,1024
1,62464,1,0.00173013,0.000683168,0.397763,N/A,N/A,N/A,N/A,victoria,1024
1,62464,1,0.00174486,0.000674395,0.39767,N/A,N/A,N/A,N/A,victoria,1024
1,62464,1,0.00178223,0.000677908,0.3942,N/A,N/A,N/A,N/A,victoria,1024
1,63488,1,0.000887874,0.000520996,0.393375,N/A,N/A,N/A,N/A,victoria,1024
1,63488,1,0.00175453,0.00067791,0.387027,N/A,N/A,N/A,N/A,victoria,1024
1,63488,1,0.00176744,0.000665812,0.396518,N/A,N/A,N/A,N/A,victoria,1024
1,64512,1,0.00180158,0.00075264,0.412067,N/A,N/A,N/A,N/A,victoria,1024
1,64512,1,0.00181287,0.000719699,0.405234,N/A,N/A,N/A,N/A,victoria,1024
1,64512,1,0.0018277,0.000721499,0.402234,N/A,N/A,N/A,N/A,victoria,1024
1,65536,1,0.00183693,0.000750643,0.400344,N/A,N/A,N/A,N/A,victoria,1024
1,65536,1,0.00183824,0.000674163,0.397626,N/A,N/A,N/A,N/A,victoria,1024
1,65536,1,0.00184775,0.000569825,0.407154,N/A,N/A,N/A,N/A,victoria,1024
1,66560,1,0.00185225,0.000790991,0.424383,N/A,N/A,N/A,N/A,victoria,1024
1,66560,1,0.00187743,0.00122148,0.426132,N/A,N/A,N/A,N/A,victoria,1024
1,66560,1,0.00188881,0.000711541,0.422466,N/A,N/A,N/A,N/A,victoria,1024
1,67584,1,0.000816205,0.000396231,0.417693,N/A,N/A,N/A,N/A,victoria,1024
1,67584,1,0.00189699,0.000696865,0.429763,N/A,N/A,N/A,N/A,victoria,1024
1,67584,1,0.0019127,0.00079137,0.426504,N/A,N/A,N/A,N/A,victoria,1024
1,68608,1,0.000957338,0.000525503,0.420325,N/A,N/A,N/A,N/A,victoria,1024
1,68608,1,0.00116958,0.000371879,0.424305,N/A,N/A,N/A,N/A,victoria,1024
1,68608,1,0.00180672,0.000705029,0.413519,N/A,N/A,N/A,N/A,victoria,1024
1,69632,1,0.000958027,0.000559559,0.423785,N/A,N/A,N/A,N/A,victoria,1024
1,69632,1,0.00191091,0.000720839,0.430768,N/A,N/A,N/A,N/A,victoria,1024
1,69632,1,0.00193472,0.000762234,0.418676,N/A,N/A,N/A,N/A,victoria,1024
1,70656,1,0.000828982,0.00140542,0.430191,N/A,N/A,N/A,N/A,victoria,1024
1,70656,1,0.00194503,0.000743446,0.426937,N/A,N/A,N/A,N/A,victoria,1024
1,70656,1,0.00195818,0.000714765,0.44789,N/A,N/A,N/A,N/A,victoria,1024
1,71680,1,0.0018454,0.000808532,0.423018,N/A,N/A,N/A,N/A,victoria,1024
1,71680,1,0.0019813,0.000720861,0.442717,N/A,N/A,N/A,N/A,victoria,1024
1,71680,1,0.00199724,0.000781944,0.449244,N/A,N/A,N/A,N/A,victoria,1024
1,72704,1,0.00100323,0.000620208,0.461784,N/A,N/A,N/A,N/A,victoria,1024
1,72704,1,0.00187283,0.000745956,0.444321,N/A,N/A,N/A,N/A,victoria,1024
1,72704,1,0.00197559,0.000736546,0.459328,N/A,N/A,N/A,N/A,victoria,1024
1,73728,1,0.00202032,0.00079596,0.47125,N/A,N/A,N/A,N/A,victoria,1024
1,73728,1,0.00202297,0.000756769,0.467167,N/A,N/A,N/A,N/A,victoria,1024
1,73728,1,0.00203627,0.000807698,0.46239,N/A,N/A,N/A,N/A,victoria,1024
1,74752,1,0.00203732,0.000850469,0.453828,N/A,N/A,N/A,N/A,victoria,1024
1,74752,1,0.00205475,0.000803774,0.469272,N/A,N/A,N/A,N/A,victoria,1024
1,74752,1,0.00205712,0.000770305,0.476135,N/A,N/A,N/A,N/A,victoria,1024
1,75776,1,0.00104221,0.000644279,0.467847,N/A,N/A,N/A,N/A,victoria,1024
1,75776,1,0.00205891,0.000850511,0.460427,N/A,N/A,N/A,N/A,victoria,1024
1,75776,1,0.00210385,0.000850981,0.467046,N/A,N/A,N/A,N/A,victoria,1024
1,76800,1,0.000866975,0.000441162,0.466079,N/A,N/A,N/A,N/A,victoria,1024
1,76800,1,0.00126414,0.00040163,0.480043,N/A,N/A,N/A,N/A,victoria,1024
1,76800,1,0.00212537,0.000838871,0.482238,N/A,N/A,N/A,N/A,victoria,1024
