gpus,N,T,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time,node,blocksize
1,61440,1,0.000870818,0.000490671,0.376314,N/A,N/A,N/A,N/A,victoria,1024
1,61440,1,0.00169405,0.000659848,0.392777,N/A,N/A,N/A,N/A,victoria,1024
1,61440,1,0.0017024,0.000637117,0.384819,N/A,N/A,N/A,N/A,victoria,1024
1,62464,1,0.000874481,0.000527006,0.384545,N/A,N/A,N/A,N/A,victoria,1024
1,62464,1,0.00171876,0.000675915,0.394504,N/A,N/A,N/A,N/A,victoria,1024
1,62464,1,0.00173506,0.000704895,0.377852,N/A,N/A,N/A,N/A,victoria,1024
1,63488,1,0.00163217,0.000544549,0.403154,N/A,N/A,N/A,N/A,victoria,1024
1,63488,1,0.00176734,0.000763942,0.397271,N/A,N/A,N/A,N/A,victoria,1024
1,63488,1,0.00181316,0.000652204,0.396493,N/A,N/A,N/A,N/A,victoria,1024
1,64512,1,0.000896788,0.000517689,0.397111,N/A,N/A,N/A,N/A,victoria,1024
1,64512,1,0.000908549,0.000505785,0.389642,N/A,N/A,N/A,N/A,victoria,1024
1,64512,1,0.00173657,0.000684433,0.406067,N/A,N/A,N/A,N/A,victoria,1024
1,65536,1,0.000911987,0.000572901,0.409134,N/A,N/A,N/A,N/A,victoria,1024
1,65536,1,0.00181664,0.000717044,0.39824,N/A,N/A,N/A,N/A,victoria,1024
1,65536,1,0.00182615,0.000688162,0.40944,N/A,N/A,N/A,N/A,victoria,1024
1,66560,1,0.00172411,0.000583526,0.409822,N/A,N/A,N/A,N/A,victoria,1024
1,66560,1,0.00184004,0.000690593,0.405503,N/A,N/A,N/A,N/A,victoria,1024
1,66560,1,0.00185721,0.000694991,0.427554,N/A,N/A,N/A,N/A,victoria,1024
1,67584,1,0.000936212,0.000532186,0.41232,N/A,N/A,N/A,N/A,victoria,1024
1,67584,1,0.00188878,0.000597312,0.427976,N/A,N/A,N/A,N/A,victoria,1024
1,67584,1,0.00189489,0.000705231,0.412034,N/A,N/A,N/A,N/A,victoria,1024
1,68608,1,0.00188686,0.000728797,0.420861,N/A,N/A,N/A,N/A,victoria,1024
1,68608,1,0.00191911,0.000715921,0.426593,N/A,N/A,N/A,N/A,victoria,1024
1,68608,1,0.0019563,0.000785789,0.419059,N/A,N/A,N/A,N/A,victoria,1024
1,69632,1,0.000963151,0.000571454,0.420701,N/A,N/A,N/A,N/A,victoria,1024
1,69632,1,0.00192194,0.00154612,0.426445,N/A,N/A,N/A,N/A,victoria,1024
1,69632,1,0.00196259,0.000782402,0.439971,N/A,N/A,N/A,N/A,victoria,1024
1,70656,1,0.00194027,0.00075531,0.435641,N/A,N/A,N/A,N/A,victoria,1024
1,70656,1,0.00195067,0.000726551,0.430916,N/A,N/A,N/A,N/A,victoria,1024
1,70656,1,0.0019699,0.000611982,0.43019,N/A,N/A,N/A,N/A,victoria,1024
1,71680,1,0.00197671,0.000727823,0.436133,N/A,N/A,N/A,N/A,victoria,1024
1,71680,1,0.00200206,0.000734931,0.41902,N/A,N/A,N/A,N/A,victoria,1024
1,71680,1,0.00201741,0.000739387,0.435812,N/A,N/A,N/A,N/A,victoria,1024
1,72704,1,0.00101384,0.000587625,0.453587,N/A,N/A,N/A,N/A,victoria,1024
1,72704,1,0.00124288,0.000386606,0.447673,N/A,N/A,N/A,N/A,victoria,1024
1,72704,1,0.00198764,0.000727535,0.437024,N/A,N/A,N/A,N/A,victoria,1024
1,73728,1,0.00186378,0.000760552,0.444646,N/A,N/A,N/A,N/A,victoria,1024
1,73728,1,0.00199942,0.000797527,0.45226,N/A,N/A,N/A,N/A,victoria,1024
1,73728,1,0.00205011,0.000759338,0.467571,N/A,N/A,N/A,N/A,victoria,1024
1,74752,1,0.00186226,0.000746701,0.449167,N/A,N/A,N/A,N/A,victoria,1024
1,74752,1,0.00188476,0.000602641,0.473798,N/A,N/A,N/A,N/A,victoria,1024
1,74752,1,0.00201286,0.000831964,0.460463,N/A,N/A,N/A,N/A,victoria,1024
1,75776,1,0.00192332,0.000644947,0.463271,N/A,N/A,N/A,N/A,victoria,1024
1,75776,1,0.00193407,0.000821972,0.457474,N/A,N/A,N/A,N/A,victoria,1024
1,75776,1,0.00195122,0.00258824,0.454228,N/A,N/A,N/A,N/A,victoria,1024
1,76800,1,0.00211295,0.00073797,0.460784,N/A,N/A,N/A,N/A,victoria,1024
1,76800,1,0.00214904,0.00077896,0.486922,N/A,N/A,N/A,N/A,victoria,1024
1,76800,1,0.00218717,0.000767831,0.473783,N/A,N/A,N/A,N/A,victoria,1024
1,77824,1,0.00211911,0.000806821,0.486589,N/A,N/A,N/A,N/A,victoria,1024
1,77824,1,0.0021536,0.000830834,0.474325,N/A,N/A,N/A,N/A,victoria,1024
1,77824,1,0.00218963,0.000830974,0.475046,N/A,N/A,N/A,N/A,victoria,1024
1,78848,1,0.00108218,0.000622691,0.488627,N/A,N/A,N/A,N/A,victoria,1024
1,78848,1,0.00216496,0.000793895,0.480916,N/A,N/A,N/A,N/A,victoria,1024
1,78848,1,0.00217135,0.000809188,0.494881,N/A,N/A,N/A,N/A,victoria,1024
1,79872,1,0.00199025,0.000784914,0.48597,N/A,N/A,N/A,N/A,victoria,1024
1,79872,1,0.00204129,0.000679071,0.504029,N/A,N/A,N/A,N/A,victoria,1024
1,79872,1,0.0022002,0.000859858,0.480475,N/A,N/A,N/A,N/A,victoria,1024
1,80896,1,0.00203762,0.000675801,0.586528,N/A,N/A,N/A,N/A,victoria,1024
1,80896,1,0.00222289,0.000772833,0.583506,N/A,N/A,N/A,N/A,victoria,1024
1,80896,1,0.00223422,0.000898488,0.584116,N/A,N/A,N/A,N/A,victoria,1024
1,81920,1,0.00203518,0.000681851,0.61878,N/A,N/A,N/A,N/A,victoria,1024
1,81920,1,0.00225695,0.00081138,0.609793,N/A,N/A,N/A,N/A,victoria,1024
1,81920,1,0.00226216,0.000804613,0.633794,N/A,N/A,N/A,N/A,victoria,1024
1,82944,1,0.001127,0.000610256,0.636307,N/A,N/A,N/A,N/A,victoria,1024
1,82944,1,0.0022642,0.000819973,0.634952,N/A,N/A,N/A,N/A,victoria,1024
1,82944,1,0.00230215,0.00170166,0.624164,N/A,N/A,N/A,N/A,victoria,1024
1,83968,1,0.00211096,0.000863937,0.649545,N/A,N/A,N/A,N/A,victoria,1024
1,83968,1,0.00227518,0.000863018,0.636957,N/A,N/A,N/A,N/A,victoria,1024
1,83968,1,0.00232281,0.000876304,0.658482,N/A,N/A,N/A,N/A,victoria,1024
1,84992,1,0.00116078,0.000636906,0.639517,N/A,N/A,N/A,N/A,victoria,1024
1,84992,1,0.00233197,0.000845738,0.664284,N/A,N/A,N/A,N/A,victoria,1024
1,84992,1,0.00237724,0.000811801,0.659064,N/A,N/A,N/A,N/A,victoria,1024
1,86016,1,0.00234206,0.000795201,0.635168,N/A,N/A,N/A,N/A,victoria,1024
1,86016,1,0.00235324,0.00084184,0.670481,N/A,N/A,N/A,N/A,victoria,1024
1,86016,1,0.0023672,0.00086021,0.641635,N/A,N/A,N/A,N/A,victoria,1024
1,87040,1,0.00118925,0.000666853,0.674792,N/A,N/A,N/A,N/A,victoria,1024
1,87040,1,0.00242265,0.000912368,0.665883,N/A,N/A,N/A,N/A,victoria,1024
1,87040,1,0.00245721,0.0008428,0.65634,N/A,N/A,N/A,N/A,victoria,1024
1,88064,1,0.00120037,0.000665827,0.652699,N/A,N/A,N/A,N/A,victoria,1024
1,88064,1,0.00121219,0.000693192,0.665924,N/A,N/A,N/A,N/A,victoria,1024
1,88064,1,0.00240533,0.000837734,0.685334,N/A,N/A,N/A,N/A,victoria,1024
1,89088,1,0.00109259,0.000409373,0.664002,N/A,N/A,N/A,N/A,victoria,1024
1,89088,1,0.0024091,0.000899706,0.650532,N/A,N/A,N/A,N/A,victoria,1024
1,89088,1,0.00245527,0.000902444,0.677851,N/A,N/A,N/A,N/A,victoria,1024
1,90112,1,0.00224212,0.0011894,0.685114,N/A,N/A,N/A,N/A,victoria,1024
1,90112,1,0.00245205,0.0010009,0.683755,N/A,N/A,N/A,N/A,victoria,1024
1,90112,1,0.00247202,0.000926607,0.686597,N/A,N/A,N/A,N/A,victoria,1024
1,91136,1,0.00123765,0.00066087,0.707562,N/A,N/A,N/A,N/A,victoria,1024
1,91136,1,0.00124176,0.000652151,0.692985,N/A,N/A,N/A,N/A,victoria,1024
1,91136,1,0.002284,0.000921857,0.694245,N/A,N/A,N/A,N/A,victoria,1024
1,92160,1,0.00229267,0.000756916,0.709216,N/A,N/A,N/A,N/A,victoria,1024
1,92160,1,0.00251807,0.000992605,0.71312,N/A,N/A,N/A,N/A,victoria,1024
1,92160,1,0.00252759,0.000918379,0.680046,N/A,N/A,N/A,N/A,victoria,1024
1,93184,1,0.00125518,0.000696485,0.707919,N/A,N/A,N/A,N/A,victoria,1024
1,93184,1,0.00253149,0.000879164,0.718422,N/A,N/A,N/A,N/A,victoria,1024
1,93184,1,0.00254563,0.000912124,0.693212,N/A,N/A,N/A,N/A,victoria,1024
1,94208,1,0.00251525,0.000926277,0.718025,N/A,N/A,N/A,N/A,victoria,1024
1,94208,1,0.0025641,0.00094808,0.732647,N/A,N/A,N/A,N/A,victoria,1024
1,94208,1,0.00257565,0.000932012,0.72995,N/A,N/A,N/A,N/A,victoria,1024
1,95232,1,0.00246167,0.000899639,0.706458,N/A,N/A,N/A,N/A,victoria,1024
1,95232,1,0.00260591,0.000893695,0.717238,N/A,N/A,N/A,N/A,victoria,1024
1,95232,1,0.00265357,0.0009012,0.71037,N/A,N/A,N/A,N/A,victoria,1024
1,96256,1,0.00241036,0.000916323,0.716853,N/A,N/A,N/A,N/A,victoria,1024
1,96256,1,0.00262654,0.00101085,0.730427,N/A,N/A,N/A,N/A,victoria,1024
1,96256,1,0.00263656,0.000886769,0.719095,N/A,N/A,N/A,N/A,victoria,1024
1,97280,1,0.00131624,0.000687901,0.753522,N/A,N/A,N/A,N/A,victoria,1024
1,97280,1,0.00262499,0.000912361,0.7382,N/A,N/A,N/A,N/A,victoria,1024
1,97280,1,0.00265591,0.000893745,0.702847,N/A,N/A,N/A,N/A,victoria,1024
1,98304,1,0.00266669,0.000998396,0.749365,N/A,N/A,N/A,N/A,victoria,1024
1,98304,1,0.00270614,0.000928503,0.720374,N/A,N/A,N/A,N/A,victoria,1024
1,98304,1,0.0027284,0.000911496,0.726396,N/A,N/A,N/A,N/A,victoria,1024
1,99328,1,0.00111519,0.000703947,0.747343,N/A,N/A,N/A,N/A,victoria,1024
1,99328,1,0.00133815,0.000709955,0.757793,N/A,N/A,N/A,N/A,victoria,1024
