kernels,time[s]
1,2.28421
16,2.38849
32,2.31615
48,2.40264
64,2.60077
80,2.62185
96,2.6638
112,2.75614
128,2.80716
144,2.89595
160,2.9564
176,3.16427
192,3.16543
208,3.26223
224,3.32257
240,3.45204
256,3.39748
272,3.55834
288,3.72237
304,3.82481
320,3.68967
336,3.85961
352,4.02709
368,4.18113
384,4.27497
416,4.49098
432,4.23106
448,4.33437
464,4.47053
480,4.60618
496,4.7451
512,4.88172
528,5.00794
544,5.065
560,5.18093
576,5.31503
592,5.44768
608,5.5408
624,5.14278
640,5.06239
656,5.1811
672,5.29723
688,5.41201
704,5.53584
720,5.64984
736,5.7668
752,5.88457
768,6.00388
784,6.1256
800,6.24918
816,6.5216
832,6.48399
848,6.59709
864,6.7093
880,6.80861
896,6.94465
912,7.0198
928,7.08504
944,7.14898
960,7.21742
976,7.31747
992,7.43352
1008,7.55326
1024,7.67574
1040,7.78457
1056,7.89827
1072,8.01258
1088,8.12775
1104,8.2396
1120,8.3439
1136,8.45039
1152,8.55865
1168,8.66563
1184,8.58554
1200,8.47422
1216,8.36149
1232,8.24828
1248,8.13675
1264,8.07279
1280,8.17667
1296,8.27109
1312,8.37343
1328,8.47098
1344,8.57119
1360,8.66718
1376,8.76834
1392,8.86839
1408,8.9664
1424,9.06885
1440,9.17005
1456,9.26597
1472,9.36511
1488,9.46304
1504,9.56237
1520,9.66128
1536,9.76419
1552,9.86144
1568,9.96074
1584,10.0569
1600,10.1591
1616,10.259
1632,10.3599
1648,10.4577
1664,10.5577
1680,10.6512
1696,10.7581
1712,10.8614
1728,10.9605
1744,11.0626
1760,11.1611
1776,11.2581
1792,11.3593
1808,11.4607
1824,11.5624
1840,11.6605
1856,11.7593
1872,11.857
1888,11.9594
1904,12.0561
1920,12.1495
1936,12.2681
1952,12.3564
1968,12.4586
1984,12.5734
2000,12.6715
2016,12.7682
2032,12.8721
2048,12.9513
2064,13.0744
2080,13.1567
2096,13.2696
2112,13.3618
2128,13.4727
2144,13.568
2160,13.6705
2176,13.7708
2192,13.8667
2208,13.9686
2224,14.0693
2240,14.1711
2256,14.2605
2272,14.3674
2288,14.4753
2304,14.571
2320,14.6699
2336,14.771
2352,14.8643
2368,14.9544
2384,15.0507
2400,15.1453
2416,15.2359
2432,15.3284
2448,15.4139
2464,15.5181
2480,15.6071
2496,15.7002
2512,15.7944
2528,15.8886
2544,15.9823
2560,16.0762
2576,16.1682
2592,16.2629
2608,16.362
2624,16.4436
2640,16.5411
2656,16.6353
2672,16.7278
2688,16.8231
2704,16.916
2720,17.0071
2736,17.0993
2752,17.1952
2768,17.3037
2784,17.4023
2800,17.4986
2816,17.5984
2832,17.7005
2848,17.8034
2864,17.8955
2880,17.9957
2896,18.1027
2912,18.1977
2928,18.3012
2944,18.3973
2960,18.4943
2976,18.58
2992,18.6949
3008,18.7809
3024,18.9001
3040,18.9726
3056,19.093
3072,19.1935
3088,19.298
3104,19.3918
3120,19.4957
3136,19.6017
3152,19.692
3168,19.7922
3184,19.8936
3200,19.9927
3216,20.091
3232,20.1952
3248,20.2882
3264,20.3865
3280,20.483
3296,20.5698
3312,20.6614
3328,20.7515
3344,20.8399
3360,20.9287
3376,21.0206
3392,21.1081
3408,21.1996
3424,21.298
3440,21.379
3456,21.4687
3472,21.5607
3488,21.6447
3504,21.738
3520,21.8264
3536,21.9104
3552,22.0081
3568,22.0943
3584,22.1851
3600,22.2738
3616,22.3642
3632,22.4549
3648,22.5425
3664,22.6331
3680,22.7177
3696,22.8091
3712,22.899
3728,22.985
3744,23.0799
3760,23.1705
3776,23.2583
3792,23.3511
3808,23.4034
3824,23.5289
3840,23.6169
3856,23.6993
3872,23.7938
3888,23.8884
3904,23.9747
3920,24.0596
3936,24.1506
3952,24.2479
3968,24.3238
3984,24.4217
4000,24.5082
4016,24.5965
4032,24.6893
4048,24.7801
4064,24.8672
4080,24.965
