O3,gpus,N,iter,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
false,1,1024,1,0.00291579,0.200923,0.00146143,N/A,N/A,N/A
false,1,1024,2,0.00293237,0.190666,0.00154579,N/A,N/A,N/A
false,1,1024,3,0.00304081,0.174487,0.00140777,N/A,N/A,N/A
false,1,1024,4,0.00286136,0.165857,0.00144257,N/A,N/A,N/A
false,1,1024,5,0.0015701,0.145707,0.000853025,N/A,N/A,N/A
false,1,2048,1,0.00579159,0.508807,0.00241531,N/A,N/A,N/A
false,1,2048,2,0.0107643,0.510888,0.00543278,N/A,N/A,N/A
false,1,2048,3,0.0108687,0.509612,0.00537024,N/A,N/A,N/A
false,1,2048,4,0.0108115,0.509504,0.00541172,N/A,N/A,N/A
false,1,2048,5,0.0043965,0.506669,0.00222451,N/A,N/A,N/A
false,1,4096,1,0.0226045,1.97823,0.00971603,N/A,N/A,N/A
false,1,4096,2,0.0223926,1.97752,0.0252863,N/A,N/A,N/A
false,1,4096,3,0.0419466,1.97971,0.0250121,N/A,N/A,N/A
false,1,4096,4,0.0180537,1.98014,0.00829157,N/A,N/A,N/A
false,1,4096,5,0.022486,1.97885,0.0100266,N/A,N/A,N/A
false,1,8192,1,0.0769643,7.86047,0.0388667,N/A,N/A,N/A
false,1,8192,2,0.166609,7.86682,0.0942522,N/A,N/A,N/A
false,1,8192,3,0.166344,7.87097,0.0939206,N/A,N/A,N/A
false,1,8192,4,0.0853697,7.87323,0.0720158,N/A,N/A,N/A
false,1,8192,5,0.084517,7.87599,0.0716478,N/A,N/A,N/A
false,1,12288,1,0.200552,17.6973,0.0854976,N/A,N/A,N/A
false,1,12288,2,0.191125,17.6993,0.15526,N/A,N/A,N/A
false,1,12288,3,0.17342,17.7024,0.0762356,N/A,N/A,N/A
false,1,12288,4,0.172137,17.7062,0.0822108,N/A,N/A,N/A
false,1,12288,5,0.171802,17.7046,0.0845082,N/A,N/A,N/A
false,1,16384,1,0.355427,31.4876,0.223321,N/A,N/A,N/A
false,1,16384,2,0.664528,31.4622,0.363736,N/A,N/A,N/A
false,1,16384,3,0.337409,31.5353,0.262002,N/A,N/A,N/A
false,1,16384,4,0.663428,31.461,0.364525,N/A,N/A,N/A
false,1,16384,5,0.364236,31.5379,0.152532,N/A,N/A,N/A
false,1,20480,1,0.482913,49.1335,0.234847,N/A,N/A,N/A
false,1,20480,2,0.563104,49.1348,0.237213,N/A,N/A,N/A
false,1,20480,3,0.597343,49.131,0.387218,N/A,N/A,N/A
false,1,20480,4,0.481406,49.1247,0.225108,N/A,N/A,N/A
false,1,20480,5,0.485562,49.1498,0.227025,N/A,N/A,N/A
false,1,24576,1,0.698701,70.7526,0.370191,N/A,N/A,N/A
false,1,24576,2,1.35206,70.8185,0.304416,N/A,N/A,N/A
false,1,24576,3,1.6459,70.9363,0.292018,N/A,N/A,N/A
false,1,24576,4,1.33904,70.8152,0.305657,N/A,N/A,N/A
false,1,24576,5,0.95029,70.7301,0.275591,N/A,N/A,N/A
false,1,28672,1,0.745646,96.2641,0.340683,N/A,N/A,N/A
false,1,28672,2,0.73453,96.261,0.350465,N/A,N/A,N/A
false,1,28672,3,0.759961,96.2594,0.335592,N/A,N/A,N/A
false,1,28672,4,0.733665,96.2473,0.351441,N/A,N/A,N/A
false,1,28672,5,0.744971,96.253,0.353596,N/A,N/A,N/A
false,1,32768,1,0.956915,125.683,0.429126,N/A,N/A,N/A
false,1,32768,2,2.42224,125.673,0.421363,N/A,N/A,N/A
false,1,32768,3,0.973877,125.679,0.425268,N/A,N/A,N/A
false,1,32768,4,1.64102,125.729,0.515994,N/A,N/A,N/A
false,1,32768,5,0.960611,125.677,0.426519,N/A,N/A,N/A
false,1,36864,1,1.1759,159.111,0.508655,N/A,N/A,N/A
false,1,36864,2,1.15413,159.12,0.472725,N/A,N/A,N/A
false,1,36864,3,1.17856,159.129,0.50735,N/A,N/A,N/A
false,1,36864,4,1.1943,159.149,0.511021,N/A,N/A,N/A
false,1,36864,5,1.33853,159.131,0.613176,N/A,N/A,N/A
true,2,1024,1,0.00338433,0.203844,0.0019003,0.0158685,0.0688489,0.000264481
true,2,1024,2,0.00337392,0.205144,0.00174561,0.0156628,0.0699018,0.000258141
true,2,1024,3,0.00474895,0.203622,0.0024664,0.0157322,0.0693595,0.000253396
true,2,1024,4,0.00325359,0.19566,0.00163455,0.0155755,0.0663584,0.000252517
true,2,1024,5,0.00261344,0.205508,0.00162406,0.0157744,0.075861,0.000266171
true,2,2048,1,0.0111317,0.456978,0.00339098,0.0156532,0.0701022,0.000253135
true,2,2048,2,0.0119678,0.394263,0.0034207,0.0159448,0.0670718,0.000258278
true,2,2048,3,0.0116376,0.364935,0.00349422,0.0157205,0.0638241,0.000264706
true,2,2048,4,0.010016,0.349213,0.00316527,0.0159246,0.0706403,0.000267194
true,2,2048,5,0.00987634,0.34825,0.00324323,0.0156292,0.0727116,0.000257587
true,2,4096,1,0.0385272,1.05469,0.0106686,0.0161047,0.0743107,0.000280085
true,2,4096,2,0.0446835,1.05202,0.0113669,0.0159825,0.0683971,0.000264783
true,2,4096,3,0.0447673,1.05303,0.0108105,0.0159771,0.0721706,0.000273823
true,2,4096,4,0.0873791,1.05307,0.0264009,0.0163495,0.0685868,0.000264948
true,2,4096,5,0.0388739,1.05123,0.01068,0.0158512,0.0710986,0.00026614
true,2,8192,1,0.145374,3.87281,0.0635448,0.0162423,0.0736008,0.000266318
true,2,8192,2,0.154501,3.88013,0.0379666,0.01611,0.0792825,0.000260564
true,2,8192,3,0.177011,3.87779,0.0403194,0.0164777,0.075082,0.000260916
true,2,8192,4,0.177717,3.88805,0.0397565,0.0162929,0.0753482,0.000264156
true,2,8192,5,0.153136,3.88694,0.0394323,0.0161295,0.077847,0.000264158
true,2,12288,1,0.357396,8.77962,0.0865344,0.0169573,0.0894093,0.000256543
true,2,12288,2,0.386199,8.62616,0.0866706,0.0169551,0.0797258,0.000261144
true,2,12288,3,0.345549,8.6492,0.0822543,0.0163891,0.0877848,0.000264511
true,2,12288,4,0.363347,8.68547,0.0814088,0.0164586,0.0829255,0.000270842
true,2,12288,5,0.374293,8.69396,0.0898702,0.016323,0.0821905,0.000260799
true,2,16384,1,0.67296,15.4662,0.152413,0.0170928,0.0890166,0.000271016
true,2,16384,2,0.661023,15.3867,0.218183,0.0169417,0.0850656,0.000263012
true,2,16384,3,0.676442,15.4945,0.271872,0.0171125,0.08727,0.000256105
true,2,16384,4,0.628976,15.4926,0.129754,0.0178571,0.0885145,0.000267467
true,2,16384,5,0.618696,15.5087,0.242371,0.0170545,0.0906205,0.000276242
true,2,20480,1,1.10833,24.1524,0.240746,0.0171134,0.0955403,0.000263508
true,2,20480,2,1.05185,24.1767,0.268048,0.0163898,0.0936169,0.000265833
true,2,20480,3,1.10875,23.9738,0.243692,0.0167248,0.0941391,0.000264816
true,2,20480,4,1.13222,24.0306,0.245235,0.0167234,0.0939563,0.000263047
true,2,20480,5,0.977478,23.9723,0.21214,0.0168054,0.0953183,0.000257627
true,2,24576,1,1.39045,34.7378,0.328508,0.0168762,0.101996,0.000263864
true,2,24576,2,1.50347,34.724,0.343522,0.0173761,0.103555,0.00026202
true,2,24576,3,1.60014,34.7964,0.344724,0.0171988,0.100636,0.000250876
true,2,24576,4,1.50546,34.4754,0.338142,0.0176027,0.101806,0.000260886
true,2,24576,5,2.71874,34.4885,0.431305,0.0183835,0.0960342,0.000277113
true,2,28672,1,2.04365,47.2065,0.675019,0.0205619,0.105562,0.000269776
true,2,28672,2,1.91169,47.2107,0.473739,0.0172238,0.106497,0.000259502
true,2,28672,3,1.89895,47.2005,0.488741,0.0179424,0.109968,0.000263702
true,2,28672,4,1.90344,47.2057,0.460313,0.0171777,0.108427,0.000266548
true,2,28672,5,2.20471,47.2362,0.469733,0.0170902,0.106286,0.000253121
true,2,32768,1,2.47398,61.5958,0.601843,0.0184133,0.11319,0.000262294
true,2,32768,2,2.90842,61.6555,0.61905,0.0172384,0.113328,0.000255866
true,2,32768,3,2.49306,61.595,0.61962,0.0181066,0.11431,0.000264852
true,2,32768,4,2.69086,61.6794,0.6165,0.0181489,0.113934,0.000260059
true,2,32768,5,2.87239,61.612,0.621852,0.0167823,0.110499,0.000258664
