scheme,N,gpus,htod,kernel,dtoh,T
cpall,1024,1,0.00488186,0.00295806,0.00144386,10
cpall,2048,1,0.0128791,0.00902915,0.00487113,10
cpall,4096,1,0.0678079,0.0321829,0.012841,10
cpall,8192,1,N/A,N/A,N/A,N/A
cpall,12288,1,N/A,N/A,N/A,N/A
cpall,16384,1,N/A,N/A,N/A,N/A
cpall,20480,1,N/A,N/A,N/A,N/A
cpall,24576,1,N/A,N/A,N/A,N/A
cpall,28672,1,N/A,N/A,N/A,N/A
cpall,32768,1,N/A,N/A,N/A,N/A
cpall,36864,1,N/A,N/A,N/A,N/A
cpall,1024,2,0.00882077,0.00208616,0.00158,10
cpall,2048,2,0.0284359,0.00496602,0.00294399,10
cpall,4096,2,0.127207,0.0164731,0.00924516,10
cpall,8192,2,0.286762,0.0633609,0.0334392,10
cpall,12288,2,N/A,N/A,N/A,N/A
cpall,16384,2,N/A,N/A,N/A,N/A
cpall,20480,2,N/A,N/A,N/A,N/A
cpall,24576,2,N/A,N/A,N/A,N/A
cpall,28672,2,N/A,N/A,N/A,N/A
cpall,32768,2,N/A,N/A,N/A,N/A
cpall,36864,2,N/A,N/A,N/A,N/A
cpall,1024,3,0.016928,0.00185704,0.00218701,10
cpall,2048,3,0.0425739,0.00371599,0.00345802,10
cpall,4096,3,0.105114,0.011503,0.00938511,10
cpall,8192,3,0.481395,0.043093,0.0627151,10
cpall,12288,3,1.07355,0.096014,0.095582,10
cpall,16384,3,N/A,N/A,N/A,N/A
cpall,20480,3,N/A,N/A,N/A,N/A
cpall,24576,3,N/A,N/A,N/A,N/A
cpall,28672,3,N/A,N/A,N/A,N/A
cpall,32768,3,N/A,N/A,N/A,N/A
cpall,36864,3,N/A,N/A,N/A,N/A
cpall,1024,4,0.0218611,0.00178218,0.00250006,10
cpall,2048,4,0.0603921,0.0032239,0.00378084,10
cpall,4096,4,0.213147,0.00900412,0.00959206,10
cpall,8192,4,0.559277,0.0332901,0.0472538,10
cpall,12288,4,1.20313,0.0722451,0.0903721,10
cpall,16384,4,N/A,N/A,N/A,N/A
cpall,20480,4,N/A,N/A,N/A,N/A
cpall,24576,4,N/A,N/A,N/A,N/A
cpall,28672,4,N/A,N/A,N/A,N/A
cpall,32768,4,N/A,N/A,N/A,N/A
cpall,36864,4,N/A,N/A,N/A,N/A
cpall,1024,5,0.0278831,0.002002,0.00237393,10
cpall,2048,5,0.0434358,0.00286603,0.00424409,10
cpall,4096,5,0.218419,0.00734186,0.00952101,10
cpall,8192,5,0.441202,0.0261588,0.040539,10
cpall,12288,5,1.29846,0.0579069,0.073278,10
cpall,16384,5,2.43978,0.102145,0.128261,10
cpall,20480,5,N/A,N/A,N/A,N/A
cpall,24576,5,N/A,N/A,N/A,N/A
cpall,28672,5,N/A,N/A,N/A,N/A
cpall,32768,5,N/A,N/A,N/A,N/A
cpall,36864,5,N/A,N/A,N/A,N/A
cpall,1024,6,0.027076,0.00213981,0.002352,10
cpall,2048,6,0.062772,0.00265098,0.00431919,10
cpall,4096,6,0.214767,0.00629997,0.00950503,10
cpall,8192,6,0.841638,0.0222051,0.036869,10
cpall,12288,6,1.79065,0.0489881,0.09763,10
cpall,16384,6,2.93724,0.086915,0.298956,10
cpall,20480,6,N/A,N/A,N/A,N/A
cpall,24576,6,N/A,N/A,N/A,N/A
cpall,28672,6,N/A,N/A,N/A,N/A
cpall,32768,6,N/A,N/A,N/A,N/A
cpall,36864,6,N/A,N/A,N/A,N/A
cpall,1024,7,0.0232649,0.00332713,0.00310111,10
cpall,2048,7,0.0978889,0.00246906,0.00434685,10
cpall,4096,7,0.263266,0.00563788,0.0141289,10
cpall,8192,7,0.881065,0.019387,0.035939,10
cpall,12288,7,2.38244,0.0420058,0.125324,10
cpall,16384,7,2.86513,0.073951,0.137129,10
cpall,20480,7,3.84978,0.0959792,0.28089,10
cpall,24576,7,N/A,N/A,N/A,N/A
cpall,28672,7,N/A,N/A,N/A,N/A
cpall,32768,7,N/A,N/A,N/A,N/A
cpall,36864,7,N/A,N/A,N/A,N/A
cpall,1024,8,0.0227301,0.002141,0.00173998,10
cpall,2048,8,0.0723751,0.00254083,0.00608587,10
cpall,4096,8,0.339684,0.00521111,0.017242,10
cpall,8192,8,1.24706,0.017756,0.0448558,10
cpall,12288,8,2.14988,0.0367479,0.133818,10
cpall,16384,8,4.08439,0.0661051,0.332604,10
cpall,20480,8,4.83015,0.095124,0.502767,10
cpall,24576,8,N/A,N/A,N/A,N/A
cpall,28672,8,N/A,N/A,N/A,N/A
cpall,32768,8,N/A,N/A,N/A,N/A
cpall,36864,8,N/A,N/A,N/A,N/A
cpall,1024,9,0.032871,0.00222301,0.00200009,10
cpall,2048,9,0.0842049,0.00238681,0.00378203,10
cpall,4096,9,0.271693,0.00517893,0.0106931,10
cpall,8192,9,1.21386,0.015445,0.063998,10
cpall,12288,9,1.97773,0.0328989,0.0888848,10
cpall,16384,9,4.86111,0.0579131,0.214793,10
cpall,20480,9,6.22152,0.0901279,0.499329,10
