N,gpus,htod,kernel,dtoh,T,depResTime,depResSize[MB]
1024,1,0.00237107,0.214463,0.0021739,1000,N/A,N/A
2048,1,0.0100679,0.641721,0.00880003,1000,N/A,N/A
4096,1,0.03582,2.07078,0.0191259,1000,N/A,N/A
8192,1,0.122549,8.04883,0.0729589,1000,N/A,N/A
12288,1,0.242043,18.0824,0.261473,1000,N/A,N/A
16384,1,0.486691,32.2688,0.44245,1000,N/A,N/A
20480,1,0.597302,50.3015,0.712938,1000,N/A,N/A
24576,1,1.07729,72.5439,0.99671,1000,N/A,N/A
28672,1,0.999364,98.5795,1.38967,1000,N/A,N/A
32768,1,1.70145,128.81,1.57457,1000,N/A,N/A
36864,1,1.76954,162.979,1.88325,1000,N/A,N/A
1024,2,0.00616384,0.293931,0.00419188,1000,0.0887313,8.18381
2048,2,0.0195839,0.577058,0.00981998,1000,0.0915453,16.3676
4096,2,0.0689168,1.2783,0.025409,1000,0.0831804,32.7352
8192,2,0.218983,4.29924,0.127723,1000,0.0825143,65.4705
12288,2,0.37067,9.50208,0.264758,1000,0.0925193,98.2057
16384,2,0.644009,16.7193,0.334933,1000,0.0961921,130.941
20480,2,2.45136,26.1403,0.461788,1000,0.0985987,163.676
24576,2,1.36639,37.4761,0.969618,1000,0.10448,196.411
28672,2,2.45553,51.0111,1.3688,1000,0.111113,229.147
32768,2,5.46021,66.5362,1.46148,1000,0.116797,261.882
36864,2,3.18101,84.1854,1.97948,1000,0.122738,294.617
1024,3,0.00596499,0.321389,0.00428414,1000,0.146529,16.3676
2048,3,0.0287108,0.51742,0.00931287,1000,0.148533,32.7352
4096,3,0.0832899,1.08902,0.0250549,1000,0.14944,65.4705
8192,3,0.262534,2.99861,0.121683,1000,0.149376,130.941
12288,3,0.560875,6.54701,0.189807,1000,0.160089,196.411
16384,3,1.80817,11.3207,0.344661,1000,0.170554,261.882
20480,3,1.50209,17.5727,0.691606,1000,0.189137,327.352
24576,3,2.12493,25.2187,0.754358,1000,0.197244,392.823
28672,3,3.23623,34.2414,1.44226,1000,0.205922,458.293
32768,3,4.56841,44.7171,1.68101,1000,0.216394,523.764
36864,3,4.56911,56.4916,2.17804,1000,0.236778,589.234
1024,4,0.00786901,0.36906,0.00432491,1000,0.203417,24.5514
2048,4,0.026984,0.523892,0.00939608,1000,0.214433,49.1028
4096,4,0.132441,0.969387,0.0253851,1000,0.212391,98.2057
8192,4,0.330359,2.40208,0.122201,1000,0.224575,196.411
12288,4,0.736003,5.0052,0.190761,1000,0.231767,294.617
16384,4,1.42845,8.64188,0.40012,1000,0.24633,392.823
20480,4,2.473,13.3463,0.531786,1000,0.265766,491.028
24576,4,4.97807,19.2651,1.05375,1000,0.287464,589.234
28672,4,4.16964,25.8873,1.24696,1000,0.294828,687.44
32768,4,5.98793,33.7828,1.75383,1000,0.313694,785.646
36864,4,6.55831,42.6809,2.18734,1000,0.332924,883.851
1024,5,0.012871,0.427764,0.00437713,1000,0.264071,32.7352
2048,5,0.0355599,0.573059,0.0146401,1000,0.288894,65.4705
4096,5,0.129501,1.01918,0.0289509,1000,0.304021,130.941
8192,5,0.527104,2.14252,0.116165,1000,0.284728,261.882
12288,5,1.32504,4.13535,0.170545,1000,0.291148,392.823
16384,5,1.57874,7.07992,0.444491,1000,0.33269,523.764
20480,5,2.45722,10.8535,0.678315,1000,0.354312,654.705
24576,5,4.32988,15.5292,1.03805,1000,0.383284,785.646
28672,5,5.63917,20.9272,1.35914,1000,0.402828,916.586
32768,5,7.25219,27.2452,1.78403,1000,0.422881,1047.53
36864,5,8.31425,34.3964,2.20715,1000,0.475645,1178.47
1024,6,0.0163591,0.494274,0.00469398,1000,0.334167,40.919
2048,6,0.049113,0.615971,0.00970793,1000,0.355497,81.8381
4096,6,0.148719,1.00505,0.0351751,1000,0.3646,163.676
8192,6,0.712341,2.02064,0.0881162,1000,0.364268,327.352
12288,6,1.27363,3.59394,0.193659,1000,0.380692,491.028
16384,6,2.36326,6.06609,0.447529,1000,0.413003,654.705
20480,6,3.10937,9.23995,0.676535,1000,0.442197,818.381
24576,6,4.31072,13.125,1.02454,1000,0.487193,982.057
28672,6,6.56048,17.7093,1.0536,1000,0.505109,1145.73
32768,6,8.26951,22.9925,1.75428,1000,0.541136,1309.41
36864,6,9.72641,28.9774,2.05322,1000,0.579664,1473.09
1024,7,0.015615,0.573266,0.00454998,1000,0.4129,49.1028
2048,7,0.0618589,0.663058,0.015424,1000,0.423263,98.2057
4096,7,0.211766,1.02779,0.04179,1000,0.438875,196.411
8192,7,0.769218,1.91541,0.087944,1000,0.441988,392.823
12288,7,1.63292,3.25727,0.198379,1000,0.458785,589.234
16384,7,3.23895,5.39181,0.346363,1000,0.492901,785.646
