gpus,N,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
1,1024,0.00288845,0.501115,0.00274421,N/A,N/A,N/A
1,1024,0.00505305,0.526809,0.000997821,N/A,N/A,N/A
1,1024,0.00529016,0.504641,0.000781324,N/A,N/A,N/A
1,12288,0.159204,52.8902,0.191633,N/A,N/A,N/A
1,12288,0.160659,54.148,0.192311,N/A,N/A,N/A
1,12288,0.162527,54.1095,0.193292,N/A,N/A,N/A
1,16384,0.270752,94.8966,0.305059,N/A,N/A,N/A
1,16384,0.448083,94.8936,0.192788,N/A,N/A,N/A
1,16384,0.470753,94.8595,0.19186,N/A,N/A,N/A
1,2048,0.00512868,1.62546,0.00177291,N/A,N/A,N/A
1,2048,0.0136601,1.60878,0.00690388,N/A,N/A,N/A
1,2048,0.0137496,1.61671,0.00626107,N/A,N/A,N/A
1,20480,0.413533,153.736,0.254114,N/A,N/A,N/A
1,20480,0.420794,153.769,0.27893,N/A,N/A,N/A
1,20480,0.499307,153.794,0.228475,N/A,N/A,N/A
1,24576,0.563739,215.153,0.307275,N/A,N/A,N/A
1,24576,1.04217,215.134,0.275747,N/A,N/A,N/A
1,24576,1.38812,215.101,0.207117,N/A,N/A,N/A
1,28672,0.738267,291.038,0.359185,N/A,N/A,N/A
1,28672,0.758777,291.04,0.35394,N/A,N/A,N/A
1,28672,0.767901,291.062,0.339902,N/A,N/A,N/A
1,32768,0.961994,379.675,0.427294,N/A,N/A,N/A
1,32768,0.96747,379.745,0.394017,N/A,N/A,N/A
1,32768,2.39495,379.725,0.410725,N/A,N/A,N/A
1,36864,1.16164,484.805,0.519071,N/A,N/A,N/A
1,36864,1.20321,484.82,0.485493,N/A,N/A,N/A
1,36864,3.04448,484.775,0.495215,N/A,N/A,N/A
1,4096,0.0203148,5.97208,0.0216754,N/A,N/A,N/A
1,4096,0.0207754,5.98249,0.0251854,N/A,N/A,N/A
1,4096,0.0452109,5.95935,0.0246678,N/A,N/A,N/A
1,8192,0.0737447,23.3361,0.0229234,N/A,N/A,N/A
1,8192,0.0785748,23.3571,0.0248052,N/A,N/A,N/A
