gpus,N,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
2,1024,0.00412391,0.000137314,0.0261364,N/A,N/A,N/A
2,12288,0.230146,0.0112418,0.495673,N/A,N/A,N/A
2,16384,0.502426,0.0149386,0.535548,N/A,N/A,N/A
2,2048,0.0131371,0.000381525,0.0525685,N/A,N/A,N/A
2,20480,0.613485,0.0238723,1.01858,N/A,N/A,N/A
2,24576,1.36098,0.0378718,1.3532,N/A,N/A,N/A
2,28672,2.04918,0.0408822,1.31786,N/A,N/A,N/A
2,32768,1.53073,0.0531957,2.09936,N/A,N/A,N/A
2,36864,1.91799,0.0680738,2.56123,N/A,N/A,N/A
2,4096,0.0426766,0.00130163,0.115951,N/A,N/A,N/A
2,8192,0.114099,0.0050364,0.302635,N/A,N/A,N/A
3,1024,0.00677382,0.000119673,0.0220937,N/A,N/A,N/A
3,12288,0.583145,0.00692579,0.464185,N/A,N/A,N/A
3,16384,0.649123,0.0133853,0.692097,N/A,N/A,N/A
3,2048,0.0228955,0.000328965,0.0531389,N/A,N/A,N/A
3,20480,0.979444,0.0214731,0.969973,N/A,N/A,N/A
3,24576,1.92233,0.0213211,1.22817,N/A,N/A,N/A
3,28672,3.5974,0.0274811,1.59516,N/A,N/A,N/A
3,32768,2.55538,0.0537032,2.01292,N/A,N/A,N/A
3,36864,3.13308,0.0683352,2.41214,N/A,N/A,N/A
3,4096,0.0486686,0.000907642,0.097411,N/A,N/A,N/A
3,8192,0.246307,0.00336672,0.272876,N/A,N/A,N/A
4,1024,0.0084025,0.000140786,0.0228802,N/A,N/A,N/A
4,12288,0.792537,0.00416707,0.422876,N/A,N/A,N/A
4,16384,1.07633,0.00683176,0.623372,N/A,N/A,N/A
4,2048,0.0381471,0.000276823,0.048883,N/A,N/A,N/A
4,20480,1.33404,0.0108022,0.900073,N/A,N/A,N/A
4,24576,2.30982,0.0153035,1.19901,N/A,N/A,N/A
4,28672,2.6139,0.020601,1.56294,N/A,N/A,N/A
4,32768,3.61887,0.0269224,1.90326,N/A,N/A,N/A
4,36864,4.21784,0.0343157,2.35497,N/A,N/A,N/A
4,4096,0.110256,0.000730045,0.102472,N/A,N/A,N/A
4,8192,0.373594,0.00238356,0.252868,N/A,N/A,N/A
5,1024,0.0124927,0.000137744,0.0215476,N/A,N/A,N/A
5,12288,0.780837,0.00461372,0.335923,N/A,N/A,N/A
5,16384,1.61326,0.00808875,0.477814,N/A,N/A,N/A
5,2048,0.0321569,0.000235113,0.0442329,N/A,N/A,N/A
5,20480,1.76367,0.0130599,0.896742,N/A,N/A,N/A
5,24576,3.35382,0.0181953,1.22075,N/A,N/A,N/A
5,28672,3.07575,0.0250355,0.97133,N/A,N/A,N/A
5,32768,4.44802,0.0321872,1.95353,N/A,N/A,N/A
5,36864,9.83489,0.0410182,1.75494,N/A,N/A,N/A
5,4096,0.119644,0.000599421,0.0855803,N/A,N/A,N/A
5,8192,0.315601,0.00215264,0.247414,N/A,N/A,N/A
6,1024,0.012672,0.000113618,0.019412,N/A,N/A,N/A
6,12288,0.916833,0.00392252,0.404837,N/A,N/A,N/A
6,16384,1.66117,0.00453993,0.58571,N/A,N/A,N/A
6,2048,0.0334185,0.000223582,0.0442192,N/A,N/A,N/A
6,20480,1.69757,0.0106631,0.600784,N/A,N/A,N/A
6,24576,2.59799,0.0150905,1.20949,N/A,N/A,N/A
6,28672,5.82644,0.0138817,1.49713,N/A,N/A,N/A
6,32768,4.04145,0.0265911,1.42697,N/A,N/A,N/A
6,36864,10.7053,0.0229949,1.61256,N/A,N/A,N/A
6,4096,0.132096,0.000541459,0.0831524,N/A,N/A,N/A
6,8192,0.384626,0.00181812,0.193461,N/A,N/A,N/A
7,1024,0.0120071,0.000115743,0.0191945,N/A,N/A,N/A
7,12288,0.700302,0.00336399,0.413769,N/A,N/A,N/A
7,16384,3.01225,0.00599956,0.654646,N/A,N/A,N/A
7,2048,0.0369933,0.000193333,0.0429352,N/A,N/A,N/A
7,20480,1.61635,0.0092521,0.60467,N/A,N/A,N/A
7,24576,3.16134,0.0130558,0.789855,N/A,N/A,N/A
7,28672,3.75015,0.0178101,0.910415,N/A,N/A,N/A
7,32768,4.9128,0.0234589,1.87563,N/A,N/A,N/A
7,36864,7.80929,0.019798,2.25919,N/A,N/A,N/A
7,4096,0.0888346,0.000471584,0.0828148,N/A,N/A,N/A
7,8192,0.429324,0.0015549,0.230373,N/A,N/A,N/A
8,1024,0.0187732,0.00014108,0.0220042,N/A,N/A,N/A
8,12288,0.759023,0.00251758,0.396818,N/A,N/A,N/A
