O3,gpus,N,iter,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
true,2,1024,1,0.00313634,0.202513,0.0133839,0.0356852,0.064171,0.0316636
true,2,1024,2,0.00303467,0.214647,0.0129967,0.0374134,0.0737319,0.0332309
true,2,1024,3,0.00314642,0.206359,0.0142226,0.0350146,0.0641859,0.0311087
true,2,2048,1,0.0111624,0.441352,0.0268479,0.058732,0.0650721,0.0539946
true,2,2048,2,0.0156457,0.394879,0.0278984,0.0568866,0.065299,0.0527648
true,2,2048,3,0.0117795,0.368755,0.0260779,0.0614473,0.0626696,0.0579247
true,2,4096,1,0.0427054,1.01312,0.0632602,0.104741,0.0643941,0.0998579
true,2,4096,2,0.0414546,1.00493,0.0622733,0.102472,0.0647059,0.0972248
true,2,4096,3,0.0452334,1.01108,0.0612108,0.10348,0.0691585,0.0990717
true,2,8192,1,0.156559,3.55319,0.144688,0.196262,0.0728773,0.192046
true,2,8192,2,0.181532,3.55138,0.148745,0.193764,0.0710902,0.189254
true,2,8192,3,0.177449,3.55614,0.148993,0.193651,0.0715682,0.189383
true,2,12288,1,0.34516,7.93656,0.249338,0.310482,0.0822424,0.305951
true,2,12288,2,0.748286,8.09192,0.389165,0.29885,0.0788609,0.294294
true,2,12288,3,0.398109,7.9272,0.262077,0.291335,0.0758227,0.286852
true,2,16384,1,0.707651,13.7887,0.414077,0.383472,0.0839828,0.378811
true,2,16384,2,0.70562,13.7954,0.411583,0.379319,0.0844567,0.374642
true,2,16384,3,1.36073,13.9494,0.622965,0.379969,0.0848914,0.375325
true,2,20480,1,1.03274,22.0219,0.588391,0.51104,0.0890462,0.506184
true,2,20480,2,1.10582,22.0113,0.5878,0.483569,0.0896209,0.478754
true,2,20480,3,1.11841,22.078,0.587158,0.501297,0.087122,0.496407
true,2,24576,1,1.50073,31.0526,0.819216,0.60293,0.0928769,0.598131
true,2,24576,2,1.60167,31.0354,1.06887,0.589105,0.0942045,0.584382
true,2,24576,3,1.62467,31.0095,0.643719,0.579811,0.0923829,0.575115
true,2,28672,1,2.58124,41.9345,0.87089,0.712286,0.100846,0.705878
true,2,28672,2,2.77917,41.9799,0.81424,0.708912,0.0947457,0.70358
true,2,28672,3,2.9457,41.9515,1.30651,0.70251,0.0990879,0.697211
true,2,32768,1,3.48602,54.4392,1.0333,0.801832,0.103107,0.796449
true,2,32768,2,3.05585,54.4985,1.36531,0.817113,0.106435,0.812142
true,2,32768,3,3.62842,54.5826,1.86524,0.823904,0.105723,0.81856
true,2,36864,1,3.36919,69.5407,1.61637,0.953113,0.112674,0.946403
